name,code,id,statekey,url
3M,MMM,289194,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=289194
American Express,AXP,92001,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=92001
Amgen,AMGN,24816,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=24816
Apple,AAPL,24937,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=24937
Boeing,BA,370857,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=370857
Caterpillar,CAT,259378,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=259378
Chevron,CVX,98506,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=98506
Cisco Systems,CSCO,19691,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=19691
Coca-Cola,KO,26642,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=26642
Dow Inc.,DOW,9830660,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=9830660
Goldman Sachs,GS,398625,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=398625
The Home Depot,HD,278679,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=278679
Honeywell,HON,1340740,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=1340740
IBM,IBM,112350,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=112350
Intel,INTC,21127,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=21127
Johnson & Johnson,JNJ,139677,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=139677
JPMorgan Chase,JPM,658776,998851c813a443a9b91b513b4e205791,https://www.capitaliq.com/CIQDotNet/Financial/Ratios.aspx?statekey=998851c813a443a9b91b513b4e205791&fromSearchProfiles=True&companyId=658776
