Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
AAPL,2013-03-30,0.161,0.239,0.29100000000000004,0.29100000000000004,0.375,0.327,0.28800000000000003,0.28800000000000003,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.185,0.109,0.109,0.9,11.5,18.7,80.8,1.8,1.5,1.4,19.5,4.5,69.5,-45.5,,,,,0.304,,,,,
AAPL,2013-06-29,0.11699999999999999,0.16699999999999998,0.213,0.213,0.369,0.308,0.26,0.26,0.195,0.195,0.195,0.16699999999999998,0.154,0.155,0.7,9.0,17.7,60.6,1.9,1.5,0.9,20.5,6.0,60.9,-34.3,0.13699999999999998,0.121,0.13699999999999998,0.121,0.38299999999999995,173.6,205.6,170.0,0.4,0.5
AAPL,2013-09-28,0.12300000000000001,0.179,0.243,0.243,0.37,0.315,0.293,0.268,0.2,0.2,0.2,0.16899999999999998,0.172,0.17300000000000001,0.7,9.1,13.7,54.6,1.7,1.4,0.9,26.6,6.7,72.8,-39.5,0.13699999999999998,0.121,0.13699999999999998,0.121,0.40299999999999997,120.8,142.3,118.8,0.4,0.4
AAPL,2013-12-28,0.20199999999999999,0.304,0.413,0.413,0.379,0.34,0.303,0.303,0.22699999999999998,0.22699999999999998,0.22699999999999998,0.192,0.258,0.259,1.1,14.4,16.9,73.6,1.5,1.2,1.7,21.6,4.9,65.5,-39.0,0.131,0.11599999999999999,0.131,0.11599999999999999,0.424,207.9,233.4,209.8,0.2,0.2
AAPL,2014-03-29,0.158,0.239,0.327,0.327,0.39299999999999996,0.33899999999999997,0.298,0.298,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.188,0.20600000000000002,0.207,0.8,11.9,15.3,56.1,1.6,1.3,1.3,23.8,6.5,80.5,-50.2,0.141,0.124,0.141,0.124,0.41700000000000004,159.9,182.1,165.9,0.3,0.3
AAPL,2014-06-28,0.12,0.17800000000000002,0.257,0.257,0.39399999999999996,0.327,0.275,0.275,0.207,0.207,0.207,0.174,0.179,0.18100000000000002,0.7,9.2,14.6,53.0,1.5,1.2,0.9,24.9,6.9,79.9,-48.1,0.257,0.204,0.24,0.191,0.456,102.8,122.3,98.5,0.6,0.8
AAPL,2014-09-27,0.12300000000000001,0.187,0.29100000000000004,0.29100000000000004,0.38,0.312,0.29100000000000004,0.265,0.201,0.201,0.201,0.16899999999999998,0.128,0.129,0.7,8.8,11.9,56.4,1.1,0.8,0.8,30.5,6.5,86.7,-49.7,0.316,0.24,0.26,0.19699999999999998,0.519,97.1,114.2,80.9,0.7,0.9
AAPL,2014-12-27,0.24600000000000002,0.395,0.614,0.614,0.39899999999999997,0.36,0.325,0.325,0.242,0.242,0.242,0.204,0.27399999999999997,0.276,1.2,14.6,17.5,81.7,1.1,0.9,1.8,20.8,4.5,68.9,-43.6,0.295,0.228,0.264,0.203,0.529,185.1,204.7,180.2,0.3,0.4
AAPL,2015-03-28,0.175,0.27399999999999997,0.43,0.43,0.408,0.358,0.315,0.315,0.23399999999999999,0.23399999999999999,0.23399999999999999,0.201,0.22899999999999998,0.231,0.9,11.4,16.8,58.7,1.2,0.9,1.3,21.7,6.2,80.7,-52.9,0.344,0.256,0.311,0.231,0.506,112.1,127.3,112.8,0.5,0.6
AAPL,2015-06-27,0.132,0.19899999999999998,0.335,0.335,0.397,0.34600000000000003,0.284,0.284,0.215,0.215,0.215,0.182,0.24600000000000002,0.248,0.7,9.6,18.7,53.9,1.1,0.8,0.9,19.5,6.7,76.4,-50.1,0.43700000000000006,0.304,0.377,0.263,0.54,70.1,85.4,75.2,0.8,0.9
AAPL,2015-09-26,0.13,0.201,0.363,0.363,0.39899999999999997,0.344,0.309,0.284,0.21600000000000003,0.21600000000000003,0.21600000000000003,0.183,0.193,0.195,0.7,9.4,15.1,56.4,1.1,0.9,0.7,24.0,6.5,90.2,-59.7,0.539,0.35,0.447,0.29,0.589,61.4,74.5,59.3,0.9,1.1
AAPL,2015-12-26,0.207,0.322,0.593,0.593,0.401,0.358,0.319,0.319,0.242,0.242,0.242,0.203,0.28,0.282,1.0,13.6,20.4,75.7,1.0,0.8,1.4,17.9,4.8,68.7,-46.0,0.491,0.32899999999999996,0.415,0.278,0.563,87.6,98.3,85.2,0.6,0.7
AAPL,2016-03-26,0.11699999999999999,0.174,0.325,0.325,0.39399999999999996,0.326,0.27699999999999997,0.27699999999999997,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.17600000000000002,0.138,0.142,0.7,8.9,16.1,51.8,1.3,1.1,0.7,22.7,7.0,87.2,-57.5,0.613,0.38,0.532,0.33,0.573,43.6,51.3,44.0,1.2,1.4
AAPL,2016-06-25,0.083,0.12,0.243,0.243,0.38,0.298,0.239,0.239,0.184,0.184,0.184,0.154,0.12,0.126,0.6,7.0,14.2,51.1,1.3,1.1,0.6,25.7,7.1,90.7,-57.8,0.6709999999999999,0.402,0.545,0.326,0.586,24.7,30.9,24.0,1.7,2.2
AAPL,2016-09-24,0.094,0.138,0.28300000000000003,0.28300000000000003,0.38,0.305,0.28300000000000003,0.251,0.192,0.192,0.192,0.162,0.212,0.218,0.6,7.1,13.6,58.6,1.4,1.2,0.8,26.7,6.2,98.6,-65.8,0.679,0.40399999999999997,0.588,0.35,0.601,26.1,31.8,23.0,1.5,2.1
AAPL,2016-12-31,0.179,0.268,0.5489999999999999,0.5489999999999999,0.385,0.336,0.298,0.298,0.228,0.228,0.228,0.193,0.185,0.19,1.0,11.7,21.0,79.6,1.2,1.1,1.3,18.6,4.9,76.2,-52.6,0.664,0.39899999999999997,0.556,0.33399999999999996,0.6,44.5,50.2,43.8,0.8,1.0
AAPL,2017-04-01,0.106,0.156,0.331,0.331,0.389,0.311,0.267,0.267,0.209,0.209,0.209,0.17300000000000001,0.11900000000000001,0.125,0.6,7.9,16.5,46.0,1.4,1.2,0.7,22.1,7.9,93.9,-63.9,0.737,0.424,0.63,0.363,0.599,26.6,31.0,25.4,1.5,1.8
AAPL,2017-07-01,0.079,0.114,0.262,0.262,0.385,0.289,0.237,0.237,0.192,0.192,0.192,0.155,0.221,0.23,0.5,6.4,15.1,36.9,1.4,1.2,0.4,24.0,9.9,97.7,-63.9,0.82,0.451,0.679,0.373,0.616,17.9,21.8,18.0,2.1,2.5
AAPL,2017-09-30,0.091,0.134,0.322,0.322,0.379,0.297,0.25,0.25,0.204,0.204,0.204,0.165,0.166,0.174,0.6,6.7,13.9,32.6,1.3,1.1,0.6,26.2,11.2,100.9,-63.5,0.863,0.46299999999999997,0.725,0.389,0.643,19.7,23.4,17.6,1.9,2.5
