Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
AMGN,2013-03-31,0.068,0.081,0.298,0.298,0.8240000000000001,0.406,0.368,0.34,0.33799999999999997,0.33799999999999997,0.33799999999999997,0.188,0.026000000000000002,0.065,0.3,3.2,6.6,1.1,5.6,4.6,0.8,54.7,331.5,112.7,273.6,1.226,0.551,1.225,0.551,0.623,5.5,6.5,5.9,3.5,3.8
AMGN,2013-06-30,0.08,0.094,0.251,0.251,0.8320000000000001,0.414,0.38,0.355,0.26899999999999996,0.26899999999999996,0.26899999999999996,0.201,0.08900000000000001,0.121,0.4,3.5,7.1,1.1,6.2,5.2,1.3,51.5,319.4,107.8,263.0,1.161,0.537,1.161,0.537,0.609,6.9,8.1,7.4,3.1,3.4
AMGN,2013-09-30,0.079,0.092,0.259,0.259,0.8340000000000001,0.424,0.38799999999999996,0.363,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.203,0.131,0.165,0.3,3.6,7.0,1.1,6.3,5.3,1.5,52.9,327.5,102.5,277.9,1.251,0.556,1.251,0.556,0.619,6.7,7.8,7.1,3.4,3.7
AMGN,2013-12-31,0.051,0.061,0.18600000000000003,0.18600000000000003,0.795,0.342,0.311,0.253,0.204,0.204,0.204,0.135,0.34600000000000003,0.37799999999999995,0.3,3.8,7.2,1.4,3.4,2.8,0.9,51.4,261.8,63.9,249.3,1.454,0.593,1.341,0.546,0.6659999999999999,4.9,6.6,5.8,4.7,5.3
AMGN,2014-03-31,0.052000000000000005,0.063,0.191,0.191,0.759,0.42,0.384,0.305,0.237,0.237,0.237,0.168,0.18899999999999997,0.225,0.3,3.4,6.7,1.5,3.5,2.7,0.6,53.8,247.1,75.3,225.6,1.4080000000000001,0.585,1.298,0.539,0.6609999999999999,5.3,7.3,6.7,4.2,4.6
AMGN,2014-06-30,0.071,0.086,0.263,0.263,0.7909999999999999,0.47200000000000003,0.44,0.374,0.299,0.299,0.299,0.212,0.27,0.304,0.3,3.9,7.6,1.5,4.4,3.7,1.1,47.9,249.2,82.2,214.9,1.367,0.578,1.264,0.534,0.649,6.9,8.7,8.1,3.4,3.7
AMGN,2014-09-30,0.062,0.075,0.2,0.2,0.7879999999999999,0.45299999999999996,0.405,0.345,0.247,0.247,0.247,0.201,0.396,0.429,0.3,3.8,7.7,1.5,4.2,3.6,1.3,47.9,251.5,89.2,210.2,1.3019999999999998,0.5660000000000001,1.204,0.523,0.642,6.5,8.5,7.9,3.6,3.9
AMGN,2014-12-31,0.06,0.073,0.203,0.203,0.7979999999999999,0.40399999999999997,0.391,0.316,0.243,0.243,0.243,0.184,0.35100000000000003,0.381,0.3,4.1,8.4,1.6,5.0,4.2,1.4,43.6,235.8,106.7,172.8,1.192,0.544,1.172,0.535,0.626,6.4,8.2,7.5,3.6,3.9
AMGN,2015-03-31,0.075,0.092,0.248,0.248,0.795,0.517,0.48100000000000004,0.413,0.322,0.322,0.322,0.244,0.136,0.168,0.3,3.9,7.7,1.5,5.5,4.7,0.9,47.0,232.3,79.0,200.3,1.145,0.534,1.126,0.525,0.616,8.3,10.3,9.9,2.9,3.1
AMGN,2015-06-30,0.077,0.092,0.245,0.245,0.797,0.496,0.46399999999999997,0.4,0.308,0.308,0.308,0.242,0.282,0.314,0.3,4.2,7.8,1.7,5.5,4.8,1.9,46.4,219.5,85.5,180.4,1.163,0.5379999999999999,1.117,0.517,0.614,7.8,9.7,9.2,3.0,3.2
AMGN,2015-09-30,0.081,0.09699999999999999,0.26899999999999996,0.26899999999999996,0.8190000000000001,0.496,0.46,0.405,0.326,0.326,0.326,0.24100000000000002,0.349,0.38,0.3,4.6,7.8,1.6,5.4,4.7,1.6,47.4,226.8,92.2,181.9,1.136,0.532,1.091,0.511,0.611,8.2,10.1,9.6,2.8,2.9
AMGN,2015-12-31,0.07200000000000001,0.087,0.257,0.257,0.816,0.45399999999999996,0.446,0.374,0.325,0.325,0.325,0.22699999999999998,0.446,0.478,0.3,4.5,7.2,1.6,4.4,4.0,1.0,50.9,224.2,101.3,173.8,1.119,0.528,1.0390000000000001,0.49,0.607,7.3,8.8,8.1,3.1,3.4
AMGN,2016-03-31,0.083,0.099,0.268,0.268,0.816,0.535,0.507,0.441,0.344,0.344,0.344,0.262,0.23199999999999998,0.265,0.3,4.5,6.9,1.6,5.0,4.4,0.9,52.7,223.8,70.2,206.3,1.196,0.545,1.1179999999999999,0.509,0.618,8.3,10.1,9.5,2.9,3.1
AMGN,2016-06-30,0.081,0.096,0.254,0.254,0.815,0.52,0.493,0.428,0.32899999999999996,0.32899999999999996,0.32899999999999996,0.251,0.066,0.1,0.3,4.7,7.1,1.6,4.0,3.5,1.0,51.2,227.2,66.8,211.5,1.103,0.524,0.927,0.441,0.601,7.8,9.4,8.8,2.8,3.0
AMGN,2016-09-30,0.08199999999999999,0.098,0.265,0.265,0.823,0.522,0.498,0.436,0.34700000000000003,0.34700000000000003,0.34700000000000003,0.258,0.35700000000000004,0.392,0.3,4.7,7.0,1.5,4.3,3.9,1.0,52.2,239.7,75.2,216.8,1.148,0.534,0.992,0.462,0.606,7.8,9.4,8.9,2.9,3.1
AMGN,2016-12-31,0.078,0.09300000000000001,0.255,0.255,0.821,0.501,0.474,0.40700000000000003,0.324,0.324,0.324,0.245,0.45799999999999996,0.49200000000000005,0.3,4.8,7.1,1.6,4.1,3.7,1.1,51.6,233.9,70.9,214.7,1.158,0.537,1.011,0.46799999999999997,0.615,7.4,9.1,8.4,2.9,3.1
AMGN,2017-03-31,0.083,0.1,0.27399999999999997,0.27399999999999997,0.818,0.5710000000000001,0.5429999999999999,0.475,0.379,0.379,0.379,0.28800000000000003,0.297,0.335,0.3,4.4,6.5,1.4,4.4,4.0,0.9,55.5,253.7,73.0,236.3,1.113,0.527,0.9890000000000001,0.46799999999999997,0.607,8.0,9.6,9.1,2.7,2.9
AMGN,2017-06-30,0.086,0.102,0.276,0.276,0.8240000000000001,0.5529999999999999,0.528,0.46399999999999997,0.37,0.37,0.37,0.278,0.05,0.085,0.3,4.7,6.5,1.4,6.2,5.5,1.2,55.6,259.1,72.9,241.8,1.105,0.525,1.0590000000000002,0.503,0.601,8.4,10.0,9.4,2.7,2.9
AMGN,2017-09-30,0.073,0.086,0.253,0.253,0.8290000000000001,0.483,0.46399999999999997,0.40299999999999997,0.35,0.35,0.35,0.243,0.384,0.419,0.3,4.7,6.3,1.3,6.1,5.5,1.7,58.7,273.6,84.8,247.5,1.11,0.526,1.048,0.49700000000000005,0.599,7.2,8.6,8.1,3.2,3.4
AMGN,2017-12-31,0.083,0.10300000000000001,-0.594,-0.594,0.8170000000000001,0.535,0.49200000000000005,0.45799999999999996,-0.735,-0.735,-0.735,0.287,0.7070000000000001,0.742,0.3,4.7,6.7,1.5,5.5,5.0,1.3,54.9,250.2,106.2,198.9,1.4,0.583,1.355,0.564,0.684,8.0,9.3,8.9,2.8,3.0
AMGN,2018-03-31,0.09,0.122,0.452,0.452,0.83,0.5760000000000001,0.5479999999999999,0.491,0.41600000000000004,0.41600000000000004,0.41600000000000004,0.31,0.273,0.311,0.3,4.5,6.2,1.3,3.9,3.4,1.0,57.9,275.8,103.4,230.2,2.275,0.695,2.136,0.652,0.7809999999999999,8.1,9.5,9.0,2.8,2.9
AMGN,2018-06-30,0.102,0.141,0.602,0.602,0.831,0.547,0.522,0.467,0.379,0.379,0.379,0.285,0.068,0.10400000000000001,0.3,4.9,6.4,1.4,3.4,2.9,0.8,57.2,267.3,84.8,239.7,2.314,0.698,2.026,0.611,0.78,8.2,9.6,9.0,2.6,2.8
