Company,Quarter,Return on Assets,Return on Equity,Return on Common Equity,Gross Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets
AXP,2013-03-31,0.033,0.268,0.266,0.7709999999999999,0.171,0.171,0.17,0.16,0.2,,,,2.2,2.2,0.5,,,,,3.096,0.7559999999999999,2.9219999999999997,0.713,0.877
AXP,2013-06-30,0.036000000000000004,0.293,0.29100000000000004,0.768,0.182,0.182,0.18,0.174,0.2,,,,2.1,2.1,0.2,,,,,2.923,0.745,2.767,0.705,0.875
AXP,2013-09-30,0.036000000000000004,0.28600000000000003,0.28300000000000003,0.769,0.17300000000000001,0.17300000000000001,0.172,0.165,0.2,,,,2.1,2.1,,,,,,2.915,0.745,2.734,0.698,0.872
AXP,2013-12-31,0.034,0.27,0.268,0.764,0.162,0.162,0.161,0.14,0.2,,,,2.0,2.0,0.0,,,,,3.1180000000000003,0.757,2.838,0.6890000000000001,0.873
AXP,2014-03-31,0.038,0.29,0.28800000000000003,0.765,0.18600000000000003,0.18600000000000003,0.185,0.18,0.2,,,,2.2,2.1,0.2,,,,,2.858,0.741,2.708,0.7020000000000001,0.868
AXP,2014-06-30,0.04,0.304,0.302,0.759,0.188,0.188,0.18600000000000003,0.14400000000000002,0.2,,,,2.2,2.2,0.1,,,,,2.892,0.743,2.713,0.6970000000000001,0.867
AXP,2014-09-30,0.039,0.292,0.29,0.757,0.18899999999999997,0.18899999999999997,0.188,0.18600000000000003,0.2,,,,2.2,2.2,0.2,,,,,2.928,0.745,2.7560000000000002,0.7020000000000001,0.8690000000000001
AXP,2014-12-31,0.037000000000000005,0.28300000000000003,0.281,0.75,0.17300000000000001,0.17300000000000001,0.172,0.205,0.2,,,,2.1,2.1,0.1,,,,,3.003,0.75,2.803,0.7,0.87
AXP,2015-03-31,0.039,0.287,0.285,0.748,0.20199999999999999,0.20199999999999999,0.201,0.192,0.2,,,,2.2,2.2,0.1,,,,,2.6189999999999998,0.7240000000000001,2.506,0.693,0.8590000000000001
AXP,2015-06-30,0.038,0.27,0.264,0.7390000000000001,0.18899999999999997,0.18899999999999997,0.185,0.185,0.2,,,,2.1,2.1,0.1,,,,,2.622,0.7240000000000001,2.41,0.665,0.861
AXP,2015-09-30,0.033,0.23399999999999999,0.228,0.735,0.165,0.165,0.161,0.163,0.2,,,,2.0,2.0,0.2,,,,,2.4330000000000003,0.7090000000000001,2.28,0.664,0.862
AXP,2015-12-31,0.023,0.171,0.166,0.736,0.11599999999999999,0.11599999999999999,0.113,0.151,0.2,,,,1.8,1.6,0.1,,,,,2.577,0.72,2.325,0.65,0.872
AXP,2016-03-31,0.036000000000000004,0.276,0.26899999999999996,0.74,0.18600000000000003,0.18600000000000003,0.182,0.168,0.2,,,,1.9,1.8,0.1,,,,,2.424,0.708,2.283,0.667,0.8690000000000001
AXP,2016-06-30,0.051,0.389,0.382,0.737,0.259,0.259,0.254,0.155,0.2,,,,2.0,2.0,0.0,,,,,2.569,0.72,2.445,0.685,0.87
AXP,2016-09-30,0.028999999999999998,0.21899999999999997,0.213,0.747,0.157,0.157,0.153,0.149,0.2,,,,1.9,1.9,0.1,,,,,2.279,0.695,2.136,0.6509999999999999,0.863
