Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
BA,2013-03-31,0.040999999999999995,0.221,0.654,0.664,0.166,0.1,0.077,0.077,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.047,-0.098,-0.095,0.8,7.8,13.0,1.6,1.3,0.4,0.0,27.8,224.6,46.2,206.2,1.213,0.5479999999999999,1.092,0.493,0.9159999999999999,14.8,19.1,13.8,1.2,1.7
BA,2013-06-30,0.046,0.24600000000000002,0.5720000000000001,0.58,0.154,0.09699999999999999,0.077,0.077,0.05,0.05,0.05,0.047,,,1.0,8.9,13.7,1.8,1.3,0.4,,26.6,200.0,51.7,174.9,1.255,0.557,1.139,0.505,0.917,17.4,22.0,22.0,1.1,1.1
BA,2013-09-30,0.047,0.243,0.556,0.563,0.156,0.1,0.079,0.079,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.049,0.111,0.114,0.9,8.9,13.6,1.8,1.3,0.5,0.2,27.1,200.9,49.4,178.7,1.058,0.514,0.9570000000000001,0.465,0.904,18.4,23.2,18.1,1.1,1.4
BA,2013-12-31,0.039,0.16699999999999998,0.41,0.414,0.14300000000000002,0.083,0.07,0.061,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.04,0.039,0.042,1.0,9.4,14.8,1.9,1.3,0.4,0.1,24.8,190.1,42.1,172.8,0.642,0.391,0.5379999999999999,0.32799999999999996,0.838,15.1,20.5,13.9,1.2,1.8
BA,2014-03-31,0.04,0.154,0.261,0.263,0.155,0.094,0.07200000000000001,0.07200000000000001,0.047,0.047,0.047,0.045,-0.046,-0.043,0.9,8.0,12.1,1.6,1.2,0.4,0.1,29.7,228.8,47.3,211.3,0.611,0.379,0.49700000000000005,0.309,0.84,16.1,21.0,15.6,1.2,1.6
BA,2014-06-30,0.047,0.185,0.45899999999999996,0.46299999999999997,0.153,0.099,0.078,0.078,0.075,0.075,0.075,0.049,0.013000000000000001,0.016,1.0,8.5,11.7,1.6,1.2,0.4,0.1,31.0,222.4,49.8,203.7,0.626,0.385,0.514,0.316,0.847,21.3,26.9,21.3,1.0,1.3
BA,2014-09-30,0.055,0.218,0.37799999999999995,0.381,0.156,0.105,0.085,0.085,0.057,0.057,0.057,0.053,0.001,0.003,1.0,9.0,12.3,1.7,1.2,0.3,0.1,30.0,214.0,48.9,195.0,0.607,0.37799999999999995,0.499,0.31,0.8420000000000001,25.7,31.7,23.8,0.9,1.2
BA,2014-12-31,0.053,0.237,0.501,0.506,0.154,0.102,0.08900000000000001,0.08,0.06,0.06,0.06,0.055,-0.138,-0.136,1.1,9.0,12.9,1.8,1.4,0.4,0.4,28.6,208.5,49.2,188.0,1.032,0.508,0.9259999999999999,0.456,0.905,24.2,30.7,22.5,0.9,1.2
BA,2015-03-31,0.051,0.278,0.635,0.645,0.165,0.10800000000000001,0.08800000000000001,0.08800000000000001,0.06,0.06,0.06,0.055,0.308,0.309,0.9,8.0,11.4,1.6,1.2,0.3,0.0,31.5,232.0,49.3,214.2,1.126,0.53,1.109,0.522,0.9179999999999999,31.8,39.3,29.9,0.9,1.2
BA,2015-06-30,0.042,0.252,0.619,0.627,0.13,0.085,0.067,0.067,0.045,0.045,0.045,0.040999999999999995,0.092,0.094,1.0,8.7,12.3,1.7,1.2,0.3,0.2,29.7,208.0,47.9,189.8,1.43,0.588,1.412,0.581,0.9359999999999999,21.8,27.8,18.6,1.1,1.6
