Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
CAT,2013-03-31,0.034,0.053,0.19699999999999998,0.19699999999999998,0.23,0.147,0.1,0.09300000000000001,0.067,0.067,0.067,0.054000000000000006,0.003,0.009000000000000001,0.6,4.1,5.2,2.5,1.5,0.8,0.2,69.7,143.0,63.7,149.0,2.211,0.6890000000000001,1.4869999999999999,0.46299999999999997,0.794,10.3,16.4,6.0,5.2,14.1
CAT,2013-06-30,0.040999999999999995,0.062,0.214,0.214,0.223,0.151,0.105,0.099,0.066,0.066,0.066,0.053,0.249,0.254,0.7,4.6,5.8,3.0,1.4,0.8,0.4,62.3,122.3,59.6,125.0,2.238,0.691,1.453,0.449,0.7979999999999999,12.0,18.4,10.3,4.5,8.0
CAT,2013-09-30,0.040999999999999995,0.063,0.212,0.212,0.226,0.165,0.114,0.107,0.071,0.07,0.07,0.06,0.064,0.069,0.6,4.2,5.7,2.9,1.4,0.8,0.4,64.6,128.4,62.6,130.4,2.175,0.685,1.431,0.451,0.792,12.5,19.3,10.9,4.5,7.9
CAT,2013-12-31,0.044000000000000004,0.065,0.20600000000000002,0.20600000000000002,0.22699999999999998,0.163,0.11199999999999999,0.106,0.07,0.07,0.07,0.062,0.099,0.109,0.7,4.4,6.5,3.2,1.4,0.8,0.4,56.8,113.5,60.4,109.9,1.808,0.644,1.28,0.456,0.754,6.8,10.5,4.7,4.0,8.9
CAT,2014-03-31,0.046,0.067,0.179,0.179,0.243,0.177,0.125,0.11800000000000001,0.07,0.07,0.07,0.07,0.06,0.065,0.6,4.1,5.9,3.0,1.4,0.8,0.3,60.6,121.7,61.7,120.6,1.8719999999999999,0.652,1.3159999999999998,0.45799999999999996,0.759,14.3,21.5,14.7,4.1,5.9
CAT,2014-06-30,0.047,0.067,0.19399999999999998,0.19399999999999998,0.23600000000000002,0.16899999999999998,0.12,0.113,0.071,0.071,0.071,0.068,0.21100000000000002,0.21600000000000003,0.7,4.5,6.5,3.1,1.4,0.9,0.3,56.0,115.8,59.7,112.1,1.9240000000000002,0.6579999999999999,1.305,0.446,0.762,13.6,20.3,13.5,4.2,6.3
CAT,2014-09-30,0.043,0.062,0.205,0.205,0.24100000000000002,0.168,0.11599999999999999,0.109,0.075,0.075,0.075,0.067,-0.063,-0.057,0.6,4.3,6.5,2.9,1.4,0.8,0.3,56.4,126.0,63.3,119.0,2.079,0.675,1.4909999999999999,0.484,0.7759999999999999,10.2,15.6,9.8,4.3,6.9
CAT,2014-12-31,0.035,0.051,0.171,0.17,0.21899999999999997,0.138,0.08800000000000001,0.08199999999999999,0.054000000000000006,0.053,0.053,0.046,0.172,0.179,0.7,4.6,7.0,3.3,1.4,0.9,0.3,52.3,111.9,65.2,98.9,2.335,0.7,1.651,0.495,0.8009999999999999,7.7,13.0,6.4,5.0,10.2
CAT,2015-03-31,0.052000000000000005,0.078,0.295,0.295,0.264,0.196,0.14400000000000002,0.13699999999999998,0.098,0.098,0.098,0.08199999999999999,0.002,0.009000000000000001,0.6,4.1,6.3,2.9,1.4,0.9,0.2,57.4,124.8,66.8,115.5,2.276,0.695,1.5730000000000002,0.48,0.7929999999999999,13.5,19.3,12.9,3.9,5.8
CAT,2015-06-30,0.043,0.063,0.188,0.188,0.24600000000000002,0.17600000000000002,0.121,0.114,0.065,0.065,0.065,0.061,0.083,0.08900000000000001,0.6,4.1,6.3,2.9,1.5,0.9,0.3,57.9,124.7,67.2,115.5,2.233,0.691,1.599,0.495,0.7909999999999999,11.2,17.3,12.1,4.4,6.3
CAT,2015-09-30,0.032,0.047,0.136,0.136,0.23,0.163,0.10099999999999999,0.094,0.051,0.051,0.051,0.047,0.151,0.158,0.5,3.7,5.9,2.8,1.4,0.8,0.2,62.4,133.4,69.4,126.4,2.351,0.7020000000000001,1.579,0.47100000000000003,0.7979999999999999,8.1,14.0,8.3,5.3,8.9
CAT,2015-12-31,0.016,0.023,-0.023,-0.024,0.2,0.115,0.052000000000000005,0.045,-0.008,-0.009000000000000001,-0.009000000000000001,0.021,0.245,0.252,0.6,3.7,6.1,3.2,1.3,0.8,0.3,59.9,116.4,69.3,107.0,2.5540000000000003,0.7190000000000001,1.6909999999999998,0.47600000000000003,0.81,3.9,10.1,1.6,7.5,46.1
CAT,2016-03-31,0.02,0.028999999999999998,0.071,0.071,0.217,0.14300000000000002,0.07400000000000001,0.065,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.032,-0.054000000000000006,-0.046,0.5,3.2,5.2,2.8,1.3,0.8,0.1,69.8,130.4,66.1,134.1,2.435,0.7090000000000001,1.5530000000000002,0.452,0.799,4.8,10.5,4.8,7.1,15.6
CAT,2016-06-30,0.028999999999999998,0.042,0.142,0.142,0.22699999999999998,0.161,0.096,0.08800000000000001,0.053,0.053,0.053,0.048,0.157,0.165,0.5,3.6,5.9,3.1,1.2,0.8,0.3,61.6,118.4,66.1,113.9,2.505,0.715,1.567,0.447,0.805,7.0,12.8,6.1,5.8,12.0
CAT,2016-09-30,0.024,0.036000000000000004,0.073,0.073,0.22399999999999998,0.166,0.092,0.083,0.031,0.031,0.031,0.043,0.015,0.023,0.5,3.2,5.6,2.8,1.3,0.8,0.2,65.4,133.5,69.0,129.9,2.362,0.703,1.5030000000000001,0.447,0.794,6.0,12.1,7.3,6.1,10.0
CAT,2016-12-31,-0.013000000000000001,-0.019,-0.32299999999999995,-0.325,0.149,0.04,-0.033,-0.040999999999999995,-0.122,-0.122,-0.122,-0.033,0.114,0.122,0.5,3.5,6.1,3.3,1.2,0.8,0.3,60.5,110.4,64.3,106.6,2.784,0.736,1.7269999999999999,0.456,0.823,,3.2,,24.1,
CAT,2017-03-31,0.035,0.052000000000000005,0.057999999999999996,0.057,0.248,0.18100000000000002,0.11599999999999999,0.10800000000000001,0.02,0.02,0.02,0.063,0.153,0.161,0.5,3.7,5.9,3.1,1.3,0.9,0.2,61.1,117.1,61.4,116.8,2.803,0.737,1.7369999999999999,0.457,0.8240000000000001,8.6,14.4,10.3,5.4,7.6
CAT,2017-06-30,0.042,0.063,0.23199999999999998,0.23199999999999998,0.257,0.179,0.122,0.115,0.071,0.071,0.071,0.066,0.142,0.14800000000000002,0.6,4.4,6.5,3.4,1.3,0.9,0.3,55.9,107.5,62.1,101.3,2.642,0.725,1.692,0.46399999999999997,0.821,10.8,16.8,11.7,4.6,6.6
CAT,2017-09-30,0.051,0.077,0.285,0.28600000000000003,0.27399999999999997,0.20199999999999999,0.146,0.139,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.084,-0.127,-0.12,0.6,4.6,6.5,3.1,1.4,1.0,0.2,56.7,117.4,64.3,109.7,2.289,0.696,1.5819999999999999,0.48100000000000004,0.8,13.4,19.6,15.2,3.9,5.0
CAT,2017-12-31,0.051,0.079,-0.353,-0.354,0.26,0.179,0.13,0.12300000000000001,-0.10099999999999999,-0.10099999999999999,-0.10099999999999999,0.061,0.122,0.13,0.7,5.2,7.0,3.5,1.3,0.9,0.1,52.8,103.8,66.1,90.5,2.5340000000000003,0.7170000000000001,1.732,0.49,0.821,9.4,13.7,9.6,3.8,5.4
