Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
CRM,2013-01-31,-0.01,-0.019,-0.038,-0.038,0.78,0.013000000000000001,-0.021,-0.025,-0.025,-0.025,-0.025,-0.02,0.295,0.293,0.7,5.6,5.2,,0.7,0.6,0.4,71.2,,18.2,,0.225,0.184,,,0.581,,1.3,,12.0,
CRM,2013-04-30,-0.018000000000000002,-0.032,-0.113,-0.113,0.7659999999999999,-0.012,-0.046,-0.05,-0.076,-0.076,-0.076,-0.038,0.359,0.35700000000000004,0.6,5.8,5.2,,1.1,1.0,0.4,68.6,,9.8,,0.657,0.397,0.44299999999999995,0.267,0.622,,,,,
CRM,2013-07-31,-0.013999999999999999,-0.021,0.11599999999999999,0.11599999999999999,0.773,0.006999999999999999,-0.036000000000000004,-0.042,0.08,0.08,0.08,-0.037000000000000005,0.081,0.08,0.5,4.2,6.1,,0.6,0.4,0.2,60.2,,20.8,,0.847,0.45899999999999996,0.636,0.344,0.6459999999999999,,0.4,,86.4,
CRM,2013-10-31,-0.03,-0.047,-0.174,-0.174,0.7509999999999999,-0.024,-0.076,-0.091,-0.11599999999999999,-0.11599999999999999,-0.11599999999999999,-0.07200000000000001,0.188,0.18899999999999997,0.5,3.6,5.9,,0.6,0.5,0.2,62.6,,19.2,,0.8220000000000001,0.451,0.626,0.34299999999999997,0.64,,,,,
CRM,2014-01-31,-0.03,-0.048,-0.157,-0.157,0.7609999999999999,-0.026000000000000002,-0.076,-0.091,-0.102,-0.102,-0.102,-0.067,0.27,0.27,0.5,3.7,4.3,,0.7,0.6,0.3,86.5,,18.5,,0.826,0.452,0.637,0.349,0.6679999999999999,,,,,
CRM,2014-04-30,-0.016,-0.026000000000000002,-0.126,-0.126,0.762,0.013999999999999999,-0.032,-0.045,-0.079,-0.079,-0.079,-0.039,0.384,0.385,0.6,3.9,4.5,,0.6,0.5,0.6,79.0,,15.5,,0.693,0.409,0.5760000000000001,0.34,0.638,,0.8,,32.4,
CRM,2014-07-31,-0.009000000000000001,-0.015,-0.076,-0.076,0.767,0.032,-0.013000000000000001,-0.025,-0.046,-0.046,-0.046,-0.025,0.086,0.087,0.6,4.3,6.5,,0.7,0.5,0.3,56.3,,18.0,,0.67,0.401,0.575,0.344,0.634,,2.3,,12.9,
CRM,2014-10-31,-0.006,-0.01,-0.044000000000000004,-0.044000000000000004,0.759,0.042,-0.004,-0.016,-0.027999999999999997,-0.027999999999999997,-0.027999999999999997,-0.016,0.0,0.001,0.6,4.8,6.5,,0.7,0.5,0.1,56.4,,23.8,,0.586,0.369,0.5379999999999999,0.33899999999999997,0.597,,3.3,,9.6,
CRM,2015-01-31,-0.009000000000000001,-0.015,-0.068,-0.068,0.754,0.035,-0.009000000000000001,-0.024,-0.046,-0.046,-0.046,-0.023,0.32899999999999996,0.331,0.6,5.2,4.2,,0.8,0.7,0.3,87.4,,23.8,,0.376,0.273,0.376,0.273,0.627,,3.0,,7.3,
CRM,2015-04-30,-0.001,-0.002,0.004,0.004,0.747,0.059000000000000004,0.011000000000000001,-0.004,0.003,0.003,0.003,-0.008,0.23,0.233,0.6,4.2,4.2,,0.7,0.5,0.7,84.2,,18.2,,0.466,0.318,0.466,0.318,0.591,,5.4,,5.5,
CRM,2015-07-31,0.005,0.008,-0.001,-0.001,0.752,0.071,0.026000000000000002,0.012,-0.001,-0.001,-0.001,0.003,0.157,0.159,0.6,3.8,6.5,,0.7,0.6,0.3,56.6,,18.1,,0.433,0.302,0.425,0.297,0.58,1.1,6.5,2.9,4.2,9.4
CRM,2015-10-31,0.01,0.016,-0.022000000000000002,-0.022000000000000002,0.753,0.083,0.038,0.025,-0.015,-0.015,-0.015,0.008,0.196,0.19899999999999998,0.6,3.9,6.4,,0.7,0.6,0.2,57.5,,20.4,,0.42100000000000004,0.29600000000000004,0.415,0.292,0.565,2.4,7.8,3.4,3.5,8.0
CRM,2016-01-31,0.004,0.006999999999999999,-0.021,-0.021,0.755,0.105,0.064,0.011000000000000001,-0.013999999999999999,-0.013999999999999999,-0.013999999999999999,-0.001,0.301,0.304,0.6,4.2,4.1,,1.0,0.9,0.3,90.5,,16.6,,0.409,0.29100000000000004,0.406,0.28800000000000003,0.608,1.1,9.8,6.2,2.7,4.2
CRM,2016-04-30,0.01,0.018000000000000002,0.028999999999999998,0.028999999999999998,0.741,0.087,0.047,0.027000000000000003,0.02,0.02,0.02,0.008,0.564,0.5670000000000001,0.6,4.5,4.2,,0.7,0.6,0.8,86.6,,11.4,,0.37,0.27,0.36700000000000005,0.268,0.564,2.4,7.6,3.8,3.1,6.2
