Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
CSCO,2013-01-26,0.07400000000000001,0.099,0.23199999999999998,0.23199999999999998,0.607,0.28300000000000003,0.253,0.23199999999999998,0.26,0.26,0.26,0.142,0.141,0.14800000000000002,0.5,14.2,6.0,11.6,3.4,3.0,0.7,60.3,31.4,17.5,74.2,0.293,0.22699999999999998,0.293,0.226,0.424,19.1,23.3,21.3,1.2,1.3
CSCO,2013-04-27,0.076,0.10099999999999999,0.17600000000000002,0.177,0.615,0.29100000000000004,0.26,0.24,0.203,0.203,0.203,0.14800000000000002,0.20600000000000002,0.214,0.5,14.5,5.7,12.4,2.9,2.7,0.6,64.0,29.4,18.3,75.1,0.28600000000000003,0.222,0.228,0.177,0.415,20.2,24.5,22.5,1.1,1.2
CSCO,2013-07-27,0.077,0.10300000000000001,0.157,0.157,0.609,0.294,0.245,0.245,0.183,0.183,0.183,0.162,0.193,0.2,0.5,14.9,5.4,13.2,3.0,2.7,0.7,67.2,27.6,18.6,76.2,0.27399999999999997,0.215,0.21899999999999997,0.172,0.41600000000000004,21.3,25.5,23.3,1.1,1.2
CSCO,2013-10-26,0.067,0.09,0.135,0.135,0.613,0.272,0.243,0.223,0.165,0.165,0.165,0.138,0.185,0.192,0.5,14.7,5.1,12.7,2.9,2.6,0.5,70.9,28.6,20.0,79.5,0.275,0.21600000000000003,0.22,0.172,0.415,19.3,23.5,21.2,1.2,1.4
CSCO,2014-01-25,0.06,0.081,0.099,0.099,0.5920000000000001,0.27,0.23800000000000002,0.215,0.128,0.128,0.128,0.133,0.252,0.26,0.4,13.7,5.0,12.1,2.6,2.4,0.5,72.3,30.1,18.8,83.6,0.306,0.23399999999999999,0.221,0.16899999999999998,0.43,17.6,22.1,20.2,1.4,1.6
CSCO,2014-04-26,0.064,0.086,0.156,0.156,0.607,0.275,0.245,0.222,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.138,0.15,0.158,0.5,14.1,5.5,11.8,3.5,3.2,0.7,66.6,30.8,19.6,77.9,0.375,0.273,0.365,0.266,0.452,17.6,21.8,19.2,1.6,1.9
CSCO,2014-07-26,0.055,0.073,0.16,0.16,0.599,0.21600000000000003,0.204,0.183,0.182,0.182,0.182,0.11199999999999999,0.147,0.154,0.5,15.1,5.5,12.7,3.4,3.1,0.7,65.6,28.7,20.4,73.9,0.368,0.26899999999999996,0.359,0.262,0.461,15.9,18.8,16.5,2.0,2.2
CSCO,2014-10-25,0.068,0.092,0.129,0.129,0.614,0.282,0.254,0.233,0.149,0.149,0.149,0.14800000000000002,0.20600000000000002,0.213,0.5,15.1,5.5,11.6,3.3,3.0,0.5,66.7,31.5,21.0,77.2,0.37,0.27,0.34600000000000003,0.252,0.455,20.5,24.8,22.8,1.5,1.7
CSCO,2015-01-24,0.064,0.086,0.168,0.168,0.594,0.27399999999999997,0.247,0.225,0.201,0.201,0.201,0.14300000000000002,0.17800000000000002,0.185,0.5,14.8,5.5,10.9,3.4,3.1,0.6,66.3,33.5,18.1,81.7,0.355,0.262,0.341,0.251,0.45,19.4,23.5,21.6,1.6,1.7
CSCO,2015-04-25,0.066,0.08800000000000001,0.16699999999999998,0.16699999999999998,0.606,0.27699999999999997,0.251,0.23,0.201,0.201,0.201,0.147,0.151,0.158,0.5,15.0,5.4,10.5,3.0,2.7,0.5,67.1,34.8,20.6,81.2,0.35700000000000004,0.263,0.282,0.20800000000000002,0.446,20.1,24.2,21.6,1.6,1.7
