Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
CVX,2013-03-31,0.08199999999999999,0.127,0.179,0.179,0.409,0.215,0.14800000000000002,0.14800000000000002,0.11900000000000001,0.11800000000000001,0.11800000000000001,0.121,-0.061,-0.061,0.9,1.5,9.8,19.3,1.6,1.2,0.7,36.9,18.7,63.6,-8.0,0.1,0.091,0.085,0.077,0.40399999999999997,,,,0.3,1.2
CVX,2013-06-30,0.068,0.102,0.151,0.152,0.395,0.187,0.12300000000000001,0.12300000000000001,0.102,0.10099999999999999,0.10099999999999999,0.1,-0.006,-0.006,0.9,1.4,10.1,18.3,1.7,1.3,1.0,36.0,19.9,59.7,-3.8,0.138,0.122,0.125,0.11,0.409,,,,0.5,3.7
CVX,2013-09-30,0.071,0.105,0.138,0.138,0.401,0.195,0.128,0.128,0.092,0.091,0.091,0.10099999999999999,-0.024,-0.024,0.9,1.4,10.4,18.2,1.6,1.2,1.2,35.3,20.2,64.2,-8.7,0.127,0.113,0.124,0.11,0.41100000000000003,,,,0.4,4.7
CVX,2013-12-31,0.06,0.08900000000000001,0.134,0.134,0.41,0.18600000000000003,0.128,0.11599999999999999,0.096,0.095,0.095,0.096,-0.055,-0.055,0.8,1.3,9.6,18.4,1.5,1.2,1.3,38.3,20.0,70.4,-12.1,0.136,0.12,0.133,0.11699999999999999,0.40700000000000003,,,,0.5,
CVX,2014-03-31,0.055,0.081,0.12,0.12,0.41100000000000003,0.19899999999999998,0.115,0.115,0.092,0.092,0.092,0.09699999999999999,-0.015,-0.015,0.8,1.2,9.4,16.7,1.4,1.0,0.9,38.4,21.6,69.3,-9.3,0.152,0.132,0.132,0.115,0.41200000000000003,,,,0.6,4.8
CVX,2014-06-30,0.064,0.094,0.14800000000000002,0.149,0.40700000000000003,0.19699999999999998,0.125,0.125,0.106,0.106,0.106,0.105,-0.035,-0.035,0.8,1.2,10.2,17.3,1.3,1.0,0.9,35.6,21.1,67.9,-11.2,0.152,0.132,0.13,0.11199999999999999,0.409,,,,0.6,3.7
CVX,2014-09-30,0.057,0.083,0.14400000000000002,0.14400000000000002,0.424,0.2,0.121,0.121,0.113,0.113,0.113,0.111,0.002,0.002,0.8,1.1,9.6,15.8,1.3,0.9,0.9,38.4,23.3,72.8,-11.1,0.163,0.14,0.127,0.11,0.40700000000000003,,,,0.6,3.8
CVX,2014-12-31,0.017,0.024,0.08900000000000001,0.08900000000000001,0.445,0.16399999999999998,0.066,0.044000000000000004,0.087,0.087,0.087,0.057,-0.077,-0.077,0.6,0.9,8.9,12.9,1.3,0.9,0.8,41.6,28.5,87.5,-17.4,0.17800000000000002,0.151,0.154,0.131,0.413,,,,1.1,
CVX,2015-03-31,0.006,0.009000000000000001,0.066,0.066,0.49700000000000005,0.166,0.022000000000000002,0.022000000000000002,0.085,0.084,0.084,0.045,-0.149,-0.149,0.5,0.7,7.7,9.2,1.4,1.0,0.3,46.5,39.2,102.5,-16.8,0.21600000000000003,0.17800000000000002,0.191,0.157,0.418,,,,1.7,
CVX,2015-06-30,-0.02,-0.028999999999999998,0.016,0.015,0.467,0.13699999999999998,-0.062,-0.062,0.017,0.016,0.016,0.023,-0.057,-0.057,0.5,0.8,8.9,10.7,1.4,1.0,1.0,40.8,34.2,82.1,-7.1,0.205,0.17,0.188,0.156,0.415,,,,1.7,
CVX,2015-09-30,0.012,0.016,0.053,0.053,0.495,0.17800000000000002,0.04,0.04,0.066,0.066,0.066,0.055999999999999994,-0.071,-0.071,0.5,0.7,8.2,9.0,1.3,0.9,0.7,44.9,41.1,97.7,-11.7,0.23,0.187,0.188,0.153,0.419,,,,1.6,
CVX,2015-12-31,-0.027000000000000003,-0.037000000000000005,-0.013999999999999999,-0.015,0.511,0.128,-0.08199999999999999,-0.109,-0.021,-0.022000000000000002,-0.022000000000000002,-0.043,-0.084,-0.084,0.4,0.6,7.9,7.8,1.4,0.9,0.7,46.8,47.2,107.6,-13.5,0.251,0.2,0.218,0.175,0.418,,,,2.9,
CVX,2016-03-31,-0.02,-0.027000000000000003,-0.019,-0.019,0.5529999999999999,0.10300000000000001,-0.09699999999999999,-0.09699999999999999,-0.033,-0.034,-0.034,-0.048,-0.155,-0.155,0.3,0.5,6.8,6.0,1.1,0.7,0.2,53.2,61.0,122.4,-8.1,0.28,0.218,0.21600000000000003,0.16899999999999998,0.426,,,,4.8,
CVX,2016-06-30,-0.033,-0.044000000000000004,-0.039,-0.04,0.48200000000000004,0.126,-0.131,-0.131,-0.055999999999999994,-0.055999999999999994,-0.055999999999999994,-0.05,-0.024,-0.022000000000000002,0.4,0.6,8.1,8.3,1.3,0.9,0.4,45.2,43.6,88.6,0.2,0.304,0.233,0.267,0.205,0.433,,41.7,,3.4,
CVX,2016-09-30,0.002,0.002,0.035,0.035,0.486,0.158,0.006999999999999999,0.006999999999999999,0.048,0.047,0.047,0.025,0.059000000000000004,0.061,0.4,0.6,8.4,9.1,1.2,0.8,0.9,43.6,40.5,86.5,-2.3,0.308,0.23600000000000002,0.267,0.204,0.431,3.0,67.5,4.0,2.6,44.9
CVX,2016-12-31,-0.006999999999999999,-0.009000000000000001,0.012,0.011000000000000001,0.46299999999999997,0.124,0.001,-0.025,0.015,0.015,0.015,0.006,0.044000000000000004,0.045,0.4,0.6,8.6,10.7,0.9,0.7,0.5,43.0,34.3,81.8,-4.5,0.314,0.239,0.24,0.183,0.436,,61.0,,3.3,
