Company,Quarter,Return on Assets,Return on Equity,Return on Common Equity,Gross Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets
GS,2013-03-31,0.01,0.11699999999999999,0.124,0.9259999999999999,0.22399999999999998,0.22399999999999998,0.21600000000000003,0.21600000000000003,0.0,,,,1.5,1.4,,,,,,6.011,0.857,2.084,0.297,0.919
GS,2013-06-30,0.008,0.099,0.105,0.9079999999999999,0.22399999999999998,0.22399999999999998,0.21600000000000003,0.203,0.0,,,,1.5,1.5,0.1,,,,,5.906000000000001,0.855,2.177,0.315,0.9159999999999999
GS,2013-09-30,0.006999999999999999,0.078,0.081,0.885,0.226,0.226,0.212,0.215,0.0,,,,1.5,1.5,,,,,,5.904,0.855,2.267,0.32799999999999996,0.915
GS,2013-12-31,0.01,0.11900000000000001,0.127,0.909,0.266,0.266,0.255,0.308,0.0,,,,1.5,1.5,0.0,,,,,5.891,0.855,2.144,0.311,0.914
GS,2014-03-31,0.009000000000000001,0.10300000000000001,0.109,0.915,0.218,0.218,0.20800000000000002,0.22,0.0,,,,1.5,1.5,,,,,,5.577000000000001,0.848,2.178,0.331,0.9129999999999999
GS,2014-06-30,0.009000000000000001,0.10099999999999999,0.10800000000000001,0.912,0.223,0.223,0.213,0.213,0.0,,,,1.6,1.6,0.0,,,,,4.901,0.831,2.126,0.36,0.905
GS,2014-09-30,0.01,0.109,0.11800000000000001,0.903,0.267,0.267,0.255,0.261,0.0,,,,1.6,1.6,,,,,,4.808,0.828,2.092,0.36,0.905
GS,2014-12-31,0.01,0.10400000000000001,0.111,0.887,0.282,0.282,0.264,0.28300000000000003,0.0,,,,1.6,1.6,0.0,,,,,4.715,0.825,2.108,0.369,0.903
GS,2015-03-31,0.013000000000000001,0.135,0.147,0.9209999999999999,0.268,0.268,0.258,0.243,0.0,,,,1.6,1.6,0.1,,,,,4.5360000000000005,0.8190000000000001,2.0380000000000003,0.368,0.9009999999999999
GS,2015-06-30,0.005,0.048,0.048,0.9059999999999999,0.11599999999999999,0.11599999999999999,0.1,0.21899999999999997,0.0,,,,1.7,1.7,,,,,,4.398,0.815,2.074,0.384,0.897
GS,2015-09-30,0.006999999999999999,0.065,0.069,0.8740000000000001,0.20800000000000002,0.20800000000000002,0.193,0.22399999999999998,0.0,,,,1.7,1.7,0.0,,,,,4.401,0.815,2.137,0.396,0.9
GS,2015-12-31,0.004,0.035,0.03,0.8859999999999999,0.105,0.105,0.078,0.26,0.0,,,,1.7,1.7,0.1,,,,,4.357,0.813,2.138,0.39899999999999997,0.899
GS,2016-03-31,0.005,0.052000000000000005,0.063,0.86,0.179,0.179,0.188,0.163,0.0,,,,1.7,1.7,,,,,,4.468999999999999,0.8170000000000001,2.198,0.402,0.9009999999999999
