Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
HD,2013-02-03,0.10800000000000001,0.157,0.23,0.23,0.349,0.121,0.098,0.098,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.061,0.066,1.8,3.0,48.0,4.4,1.3,0.3,0.6,8.2,89.4,48.0,49.6,0.607,0.37799999999999995,0.5329999999999999,0.332,0.5670000000000001,10.8,13.3,10.8,1.2,1.5
HD,2013-05-05,0.12300000000000001,0.18100000000000002,0.287,0.287,0.349,0.132,0.109,0.109,0.064,0.064,0.064,0.063,0.134,0.14,1.8,3.2,50.1,4.4,1.3,0.4,0.8,7.3,82.4,42.8,46.8,0.78,0.43799999999999994,0.6990000000000001,0.39299999999999996,0.629,12.8,15.4,13.7,1.3,1.4
HD,2013-08-04,0.175,0.263,0.451,0.451,0.34299999999999997,0.154,0.134,0.134,0.08,0.08,0.08,0.079,0.076,0.081,2.1,3.8,56.3,5.2,1.3,0.4,0.6,6.5,70.4,45.2,31.7,0.8240000000000001,0.452,0.74,0.406,0.633,17.3,19.9,18.0,0.9,1.0
HD,2013-11-03,0.133,0.196,0.364,0.364,0.349,0.14,0.11800000000000001,0.11800000000000001,0.069,0.069,0.069,0.068,0.033,0.039,1.8,3.3,49.5,4.5,1.5,0.5,0.4,7.4,80.6,45.6,42.3,1.126,0.53,1.034,0.486,0.6759999999999999,12.0,14.3,12.4,1.5,1.7
HD,2014-02-02,0.10400000000000001,0.153,0.303,0.303,0.35,0.124,0.1,0.1,0.057,0.057,0.057,0.055999999999999994,0.054000000000000006,0.061,1.7,3.0,47.1,4.1,1.4,0.3,0.6,7.7,88.6,49.4,47.0,1.176,0.54,1.173,0.539,0.691,9.7,12.1,9.8,1.7,2.1
HD,2014-05-04,0.13699999999999998,0.21,0.447,0.447,0.34299999999999997,0.138,0.11599999999999999,0.11599999999999999,0.07,0.07,0.07,0.069,0.121,0.128,1.9,3.4,48.8,4.4,1.3,0.3,0.8,7.5,82.3,43.3,46.5,1.215,0.5479999999999999,1.212,0.547,0.715,11.9,14.3,12.8,1.4,1.5
HD,2014-08-03,0.2,0.313,0.695,0.695,0.336,0.16399999999999998,0.145,0.145,0.086,0.086,0.086,0.085,0.102,0.10800000000000001,2.2,4.1,54.9,5.3,1.4,0.5,0.8,6.6,69.1,44.8,30.9,1.463,0.594,1.46,0.593,0.736,16.6,18.7,17.1,1.1,1.2
HD,2014-11-02,0.15,0.23199999999999998,0.57,0.57,0.34299999999999997,0.146,0.124,0.124,0.075,0.075,0.075,0.07400000000000001,0.033,0.039,1.9,3.6,50.5,4.6,1.4,0.3,0.3,7.2,79.9,46.3,40.8,1.655,0.623,1.651,0.622,0.7559999999999999,11.7,13.8,12.1,1.4,1.6
HD,2015-02-01,0.133,0.203,0.568,0.568,0.34299999999999997,0.136,0.113,0.113,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.067,0.051,0.057999999999999996,1.9,3.4,49.5,4.4,1.4,0.3,0.7,7.3,83.5,49.6,41.2,1.845,0.648,1.81,0.636,0.767,10.1,12.2,10.1,1.7,2.0
HD,2015-05-03,0.157,0.24600000000000002,0.682,0.682,0.344,0.146,0.124,0.124,0.076,0.076,0.076,0.07200000000000001,0.149,0.155,2.0,3.7,50.3,4.7,1.1,0.3,0.8,7.2,77.6,42.3,42.6,1.8330000000000002,0.647,1.501,0.53,0.7829999999999999,13.1,15.4,13.8,1.4,1.6
