Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
HON,2013-03-31,0.079,0.156,0.28800000000000003,0.293,0.273,0.168,0.15,0.141,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.084,-0.005,0.001,0.9,7.5,5.5,6.4,1.3,1.0,0.1,65.5,56.6,60.4,61.7,0.563,0.36,0.423,0.271,0.6729999999999999,15.7,18.6,16.9,1.2,1.4
HON,2013-06-30,0.08199999999999999,0.161,0.295,0.3,0.275,0.168,0.151,0.14300000000000002,0.105,0.105,0.105,0.086,0.12300000000000001,0.129,0.9,7.8,5.5,6.5,1.3,1.0,0.4,65.9,55.6,59.3,62.2,0.55,0.355,0.41200000000000003,0.266,0.6679999999999999,17.3,20.4,18.0,1.2,1.3
HON,2013-09-30,0.084,0.161,0.275,0.276,0.28,0.177,0.16,0.152,0.10400000000000001,0.10300000000000001,0.10300000000000001,0.08800000000000001,0.077,0.08199999999999999,0.9,7.6,5.3,6.3,1.3,1.0,0.3,69.2,58.0,61.6,65.6,0.565,0.361,0.38,0.243,0.657,18.3,21.4,18.8,1.3,1.4
HON,2013-12-31,0.07400000000000001,0.133,0.23399999999999999,0.23399999999999999,0.267,0.153,0.136,0.129,0.09300000000000001,0.091,0.091,0.07400000000000001,0.095,0.1,0.9,8.0,5.7,7.0,1.5,1.1,0.5,65.0,52.9,61.5,56.4,0.498,0.332,0.384,0.256,0.609,16.1,19.1,14.3,1.4,1.9
HON,2014-03-31,0.075,0.127,0.23,0.23,0.28,0.166,0.149,0.142,0.107,0.105,0.105,0.08199999999999999,0.031,0.036000000000000004,0.8,7.3,5.2,6.4,1.5,1.1,0.2,68.7,56.2,65.5,59.3,0.514,0.33899999999999997,0.373,0.247,0.602,17.4,20.4,18.0,1.5,1.6
HON,2014-06-30,0.086,0.142,0.242,0.24,0.28800000000000003,0.177,0.161,0.154,0.11,0.107,0.107,0.09,0.076,0.081,0.9,7.7,5.4,6.5,1.6,1.2,0.4,67.4,55.6,64.0,59.0,0.486,0.327,0.36,0.242,0.5920000000000001,19.8,22.7,19.8,1.3,1.5
HON,2014-09-30,0.08800000000000001,0.145,0.249,0.248,0.295,0.184,0.168,0.162,0.11800000000000001,0.115,0.115,0.095,0.098,0.10300000000000001,0.9,7.7,5.2,6.3,1.6,1.2,0.4,70.4,58.1,67.9,60.5,0.461,0.316,0.35100000000000003,0.24,0.583,21.2,24.2,20.8,1.2,1.4
HON,2014-12-31,0.068,0.113,0.209,0.209,0.263,0.14300000000000002,0.126,0.121,0.095,0.09300000000000001,0.09300000000000001,0.071,0.13699999999999998,0.142,0.9,7.8,5.4,6.8,1.5,1.2,0.5,68.5,54.0,65.0,57.5,0.48200000000000004,0.325,0.336,0.22699999999999998,0.604,15.1,17.9,12.8,1.5,2.1
HON,2015-03-31,0.08900000000000001,0.149,0.255,0.254,0.309,0.19899999999999998,0.182,0.17600000000000002,0.124,0.121,0.121,0.10300000000000001,0.009000000000000001,0.013999999999999999,0.8,6.9,4.9,5.7,1.4,1.1,0.1,73.8,63.0,74.0,62.9,0.542,0.35100000000000003,0.316,0.205,0.605,21.1,23.9,21.7,1.3,1.5
HON,2015-06-30,0.094,0.153,0.266,0.265,0.303,0.19899999999999998,0.18100000000000002,0.17600000000000002,0.125,0.122,0.122,0.10300000000000001,0.10800000000000001,0.113,0.9,7.3,5.1,6.1,1.5,1.2,0.4,71.5,59.8,71.5,59.8,0.515,0.34,0.295,0.195,0.594,22.3,25.3,22.1,1.2,1.4
HON,2015-09-30,0.094,0.153,0.276,0.27899999999999997,0.308,0.205,0.188,0.183,0.133,0.132,0.132,0.11,0.129,0.134,0.8,7.1,5.0,6.0,1.4,1.1,0.4,73.1,61.4,74.1,60.4,0.5820000000000001,0.368,0.308,0.195,0.61,24.4,27.4,23.6,1.3,1.6
HON,2015-12-31,0.09,0.146,0.261,0.265,0.307,0.196,0.179,0.174,0.121,0.12,0.12,0.10300000000000001,0.2,0.205,0.8,7.1,5.3,6.2,1.1,0.9,0.4,69.8,58.9,73.0,55.7,0.645,0.392,0.297,0.18,0.621,20.6,23.3,18.7,1.5,1.9
HON,2016-03-31,0.085,0.134,0.264,0.267,0.312,0.205,0.18600000000000003,0.17800000000000002,0.129,0.128,0.128,0.106,0.002,0.006999999999999999,0.8,6.4,4.9,5.7,1.2,0.9,0.1,74.5,63.7,73.5,64.7,0.76,0.43200000000000005,0.528,0.3,0.635,19.9,22.9,20.6,1.8,2.0
HON,2016-06-30,0.091,0.141,0.284,0.285,0.317,0.21,0.192,0.184,0.133,0.132,0.132,0.109,0.096,0.10099999999999999,0.8,6.6,5.0,5.8,1.3,1.0,0.4,72.9,62.8,74.8,60.9,0.74,0.425,0.507,0.29100000000000004,0.63,21.7,24.7,21.4,1.7,1.9
HON,2016-09-30,0.073,0.11199999999999999,0.261,0.261,0.29600000000000004,0.183,0.16399999999999998,0.156,0.127,0.126,0.126,0.10300000000000001,0.163,0.168,0.7,6.6,4.9,6.0,1.2,0.9,0.3,75.6,61.7,74.4,62.9,0.8190000000000001,0.45,0.496,0.273,0.638,18.7,21.9,18.5,2.2,2.6
HON,2016-12-31,0.075,0.114,0.215,0.215,0.311,0.187,0.16899999999999998,0.162,0.105,0.10400000000000001,0.10400000000000001,0.085,0.122,0.128,0.7,6.9,4.9,6.1,1.4,1.1,0.5,74.7,59.9,76.7,57.9,0.807,0.447,0.623,0.345,0.639,18.8,21.7,17.7,2.1,2.6
HON,2017-03-31,0.08199999999999999,0.125,0.266,0.267,0.312,0.217,0.19899999999999998,0.188,0.14,0.14,0.14,0.113,0.083,0.08800000000000001,0.7,6.5,4.6,5.8,1.4,1.0,0.2,77.4,62.2,75.9,63.7,0.777,0.43700000000000006,0.5489999999999999,0.309,0.626,23.8,27.4,25.2,1.9,2.1
HON,2017-06-30,0.07200000000000001,0.109,0.273,0.273,0.303,0.18600000000000003,0.168,0.159,0.139,0.138,0.138,0.11199999999999999,0.098,0.102,0.7,7.0,4.9,6.0,1.3,1.0,0.3,74.9,60.3,76.3,58.9,0.8029999999999999,0.445,0.551,0.306,0.631,20.2,23.7,20.8,2.2,2.5
HON,2017-09-30,0.08,0.12,0.261,0.259,0.303,0.20600000000000002,0.188,0.177,0.135,0.133,0.133,0.10800000000000001,0.10400000000000001,0.109,0.7,7.1,4.8,6.0,1.4,1.0,0.3,77.4,61.3,77.4,61.3,0.79,0.441,0.539,0.301,0.626,22.2,25.7,23.1,2.0,2.2
HON,2017-12-31,0.076,0.122,-0.529,-0.536,0.305,0.18899999999999997,0.172,0.163,-0.231,-0.23199999999999998,-0.23199999999999998,0.096,0.084,0.08800000000000001,0.7,7.4,5.0,6.4,1.4,1.0,0.5,74.0,57.1,78.6,52.6,1.073,0.518,0.754,0.364,0.72,21.8,25.3,20.1,2.2,2.7
HON,2018-03-31,0.085,0.14400000000000002,0.337,0.33799999999999997,0.308,0.22399999999999998,0.20600000000000002,0.196,0.14,0.138,0.138,0.11699999999999999,0.092,0.09699999999999999,0.7,6.9,4.7,6.1,1.4,1.0,0.2,76.4,58.7,81.0,54.1,1.0290000000000001,0.507,0.716,0.353,0.708,24.5,28.0,26.3,2.0,2.1
HON,2018-06-30,0.086,0.147,0.28800000000000003,0.28800000000000003,0.303,0.217,0.2,0.191,0.11699999999999999,0.11599999999999999,0.11599999999999999,0.11699999999999999,0.18100000000000002,0.187,0.7,7.2,5.0,6.4,1.4,1.0,0.4,72.4,57.1,80.1,49.4,0.961,0.49,0.703,0.359,0.703,21.9,25.0,22.9,1.8,2.0
HON,2018-09-30,0.08199999999999999,0.139,0.521,0.522,0.298,0.212,0.195,0.185,0.21899999999999997,0.217,0.217,0.113,0.14400000000000002,0.15,0.7,7.2,5.0,6.1,1.5,1.1,0.4,73.4,60.0,81.5,51.9,0.991,0.498,0.763,0.38299999999999995,0.703,20.2,23.0,21.2,2.0,2.2
HON,2018-12-31,0.075,0.125,0.37799999999999995,0.37799999999999995,0.313,0.21,0.193,0.184,0.179,0.177,0.177,0.114,0.13699999999999998,0.14300000000000002,0.7,6.9,4.8,5.7,1.3,1.0,0.3,76.0,64.6,97.9,42.7,0.883,0.469,0.531,0.282,0.682,19.9,22.7,19.3,2.0,2.3
HON,2019-03-31,0.079,0.131,0.308,0.307,0.33799999999999997,0.23600000000000002,0.218,0.207,0.162,0.159,0.159,0.127,0.055999999999999994,0.062,0.6,6.3,4.8,5.3,1.2,0.9,0.2,75.0,67.9,82.5,60.4,0.887,0.47,0.48100000000000004,0.255,0.6759999999999999,21.6,25.5,23.8,1.9,2.1
