Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
IBM,2013-03-31,0.077,0.17300000000000001,0.635,0.639,0.456,0.204,0.16899999999999998,0.155,0.13,0.13,0.13,0.096,0.127,0.129,0.8,6.8,8.8,21.2,1.2,1.0,0.4,40.8,17.0,54.2,3.6,1.7380000000000002,0.635,1.284,0.469,0.836,38.5,50.8,43.2,1.7,2.1
IBM,2013-06-30,,,,,,,,,,,,,,,,,,,1.2,1.0,,,,,,1.9080000000000001,0.6559999999999999,1.47,0.506,0.845,,,,,
IBM,2013-09-30,0.106,0.228,0.8740000000000001,0.88,0.49,0.262,0.22699999999999998,0.212,0.177,0.17300000000000001,0.177,0.131,0.078,0.08,0.8,6.9,9.1,19.1,1.2,1.0,0.4,40.6,19.3,51.3,8.6,1.808,0.644,1.423,0.507,0.83,50.9,63.1,52.9,1.5,1.8
IBM,2013-12-31,0.14400000000000002,0.29600000000000004,1.158,1.165,0.524,0.301,0.26899999999999996,0.257,0.22699999999999998,0.226,0.22699999999999998,0.16,0.11900000000000001,0.122,0.9,7.9,10.6,21.2,1.3,1.1,0.7,34.8,17.3,50.3,1.9,1.733,0.634,1.4340000000000002,0.525,0.818,62.2,72.9,63.5,1.2,1.4
IBM,2014-03-31,0.08,0.162,0.51,0.514,0.478,0.231,0.195,0.18,0.114,0.107,0.114,0.111,0.145,0.14800000000000002,0.7,6.5,8.6,19.0,1.2,1.0,0.3,41.7,18.9,56.2,4.5,2.628,0.7240000000000001,2.072,0.5710000000000001,0.8640000000000001,38.1,49.0,40.9,2.1,2.6
IBM,2014-06-30,0.106,0.209,0.993,1.001,0.501,0.265,0.231,0.217,0.177,0.172,0.177,0.13699999999999998,0.062,0.065,0.8,7.0,9.6,19.6,1.1,0.9,0.3,37.9,18.5,51.3,5.1,2.653,0.726,1.942,0.532,0.8590000000000001,38.4,46.9,40.3,1.8,2.1
IBM,2014-09-30,0.09,0.177,0.866,0.8740000000000001,0.486,0.247,0.196,0.196,0.154,0.001,0.154,0.121,,,0.7,7.2,9.2,19.2,1.1,0.9,,40.0,19.2,49.4,9.7,3.175,0.76,2.281,0.546,0.879,34.8,43.8,43.8,2.1,2.1
IBM,2014-12-31,0.133,0.278,1.67,1.689,0.5329999999999999,0.304,0.27399999999999997,0.26,0.22899999999999998,0.22699999999999998,0.22899999999999998,0.156,0.293,0.29600000000000004,0.8,8.8,10.4,19.7,1.2,1.0,0.6,35.5,18.7,54.6,-0.3,3.39,0.772,2.9130000000000003,0.664,0.898,53.7,62.6,54.5,1.4,1.6
IBM,2015-03-31,0.07400000000000001,0.16399999999999998,0.795,0.805,0.48200000000000004,0.223,0.18899999999999997,0.174,0.12300000000000001,0.11900000000000001,0.12300000000000001,0.11,0.043,0.046,0.7,7.4,8.5,19.5,1.3,1.0,0.4,42.1,18.5,60.7,-0.1,3.159,0.76,2.7910000000000004,0.6709999999999999,0.89,31.6,40.5,32.6,2.2,2.8
IBM,2015-06-30,0.09300000000000001,0.20199999999999999,1.08,1.092,0.499,0.247,0.201,0.201,0.16899999999999998,0.166,0.16899999999999998,0.131,,,0.7,7.8,9.3,20.9,1.3,1.0,,39.0,17.4,55.2,1.2,2.795,0.736,2.4090000000000003,0.635,0.877,36.4,44.8,44.8,1.9,1.9
