Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
INTC,2013-03-30,0.075,0.09699999999999999,0.16,0.16,0.562,0.364,0.231,0.2,0.163,0.163,0.163,0.12300000000000001,0.195,0.198,0.6,1.8,13.7,4.9,2.4,1.8,1.5,26.7,75.0,50.3,51.4,0.261,0.207,0.257,0.204,0.384,34.5,62.8,33.0,0.7,1.4
INTC,2013-06-29,0.081,0.10300000000000001,0.152,0.152,0.583,0.368,0.23399999999999999,0.212,0.156,0.156,0.156,0.131,0.040999999999999995,0.044000000000000004,0.6,1.8,14.6,4.8,2.6,1.8,1.7,24.9,75.8,45.4,55.3,0.252,0.201,0.245,0.195,0.371,45.3,78.5,33.1,0.7,1.7
INTC,2013-09-28,0.10300000000000001,0.133,0.21600000000000003,0.21600000000000003,0.624,0.419,0.29100000000000004,0.26899999999999996,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.16699999999999998,0.261,0.264,0.6,1.8,15.0,4.5,2.3,1.7,1.7,24.3,81.5,52.7,53.0,0.247,0.198,0.23800000000000002,0.191,0.38799999999999996,64.8,100.9,49.7,0.6,1.2
INTC,2013-12-28,0.1,0.13,0.185,0.185,0.62,0.406,0.28600000000000003,0.265,0.19,0.19,0.19,0.16399999999999998,0.10800000000000001,0.111,0.6,1.8,15.2,4.8,2.4,1.8,1.8,24.0,75.3,55.4,43.9,0.235,0.19,0.226,0.183,0.369,66.6,102.2,48.6,0.6,1.3
INTC,2014-03-29,0.07200000000000001,0.092,0.133,0.133,0.596,0.365,0.23,0.207,0.151,0.151,0.151,0.135,0.149,0.151,0.6,1.6,14.4,5.2,2.3,1.7,1.0,25.3,70.1,57.4,38.0,0.23199999999999998,0.188,0.228,0.185,0.369,71.5,125.8,53.1,0.7,1.7
INTC,2014-06-28,0.107,0.136,0.191,0.191,0.645,0.441,0.305,0.284,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.177,0.044000000000000004,0.047,0.6,1.7,15.8,5.1,2.4,1.7,1.8,23.0,71.4,53.3,41.0,0.226,0.184,0.222,0.18100000000000002,0.355,80.1,124.4,66.7,0.5,1.0
INTC,2014-09-27,0.125,0.161,0.23,0.23,0.65,0.46399999999999997,0.33399999999999996,0.313,0.228,0.228,0.228,0.19399999999999998,0.298,0.301,0.6,1.8,16.3,5.1,1.8,1.3,1.5,22.3,71.9,48.0,46.3,0.23800000000000002,0.192,0.21600000000000003,0.174,0.381,86.0,127.5,81.4,0.5,0.8
INTC,2014-12-27,0.124,0.162,0.262,0.262,0.654,0.45399999999999996,0.326,0.306,0.249,0.249,0.249,0.19,0.145,0.14800000000000002,0.6,1.8,14.6,4.9,1.7,1.2,1.4,25.0,74.8,46.3,53.5,0.245,0.19699999999999998,0.21600000000000003,0.17300000000000001,0.392,85.1,126.1,85.7,0.5,0.8
INTC,2015-03-28,0.075,0.099,0.14400000000000002,0.14400000000000002,0.605,0.377,0.23199999999999998,0.213,0.156,0.156,0.156,0.134,0.243,0.245,0.6,1.5,13.3,4.6,1.8,1.2,1.2,27.3,78.3,48.4,57.2,0.24100000000000002,0.19399999999999998,0.221,0.17800000000000002,0.387,64.8,114.7,66.5,0.7,1.2
INTC,2015-06-27,0.087,0.113,0.192,0.192,0.625,0.40399999999999997,0.254,0.23800000000000002,0.205,0.205,0.205,0.14800000000000002,0.039,0.040999999999999995,0.6,1.6,14.9,4.3,2.0,1.3,1.0,24.5,84.9,43.7,65.8,0.23,0.187,0.21,0.171,0.36200000000000004,59.3,100.7,67.3,0.6,0.9
