Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
JNJ,2013-03-31,0.10400000000000001,0.154,0.212,0.212,0.688,0.34700000000000003,0.307,0.28800000000000003,0.2,0.2,0.2,0.184,0.091,0.096,0.6,4.4,6.1,2.9,2.1,1.5,0.4,59.3,126.7,90.2,95.8,0.23800000000000002,0.192,0.17,0.138,0.45,40.4,48.6,44.0,0.7,0.7
JNJ,2013-06-30,0.10300000000000001,0.151,0.225,0.225,0.693,0.33899999999999997,0.301,0.28300000000000003,0.214,0.214,0.214,0.171,0.177,0.18100000000000002,0.6,4.5,6.2,2.8,2.2,1.5,0.9,58.9,128.6,89.5,97.9,0.215,0.177,0.139,0.114,0.44,42.9,51.3,44.8,0.6,0.7
JNJ,2013-09-29,0.09699999999999999,0.14400000000000002,0.171,0.171,0.696,0.33299999999999996,0.29600000000000004,0.27699999999999997,0.17,0.17,0.17,0.172,0.25,0.254,0.6,4.4,5.9,2.7,2.0,1.4,0.9,61.2,135.8,94.6,102.3,0.217,0.17800000000000002,0.14,0.115,0.45,46.4,55.7,48.0,0.6,0.7
JNJ,2013-12-29,0.078,0.115,0.196,0.196,0.6829999999999999,0.285,0.245,0.22399999999999998,0.19399999999999998,0.19399999999999998,0.19399999999999998,0.13699999999999998,0.131,0.135,0.6,4.4,6.1,2.9,2.2,1.6,0.6,59.5,126.5,101.8,84.2,0.24600000000000002,0.19699999999999998,0.18,0.145,0.442,30.4,38.6,27.9,0.9,1.2
JNJ,2014-03-30,0.106,0.152,0.251,0.251,0.6990000000000001,0.368,0.331,0.312,0.261,0.261,0.261,0.193,0.128,0.133,0.5,4.4,6.1,2.7,2.4,1.7,0.7,59.9,132.5,100.8,91.5,0.226,0.184,0.174,0.142,0.426,41.5,49.0,44.3,0.6,0.7
JNJ,2014-06-29,0.111,0.158,0.22399999999999998,0.22399999999999998,0.69,0.355,0.324,0.306,0.222,0.222,0.222,0.187,0.2,0.204,0.6,4.9,6.4,3.0,2.5,1.8,0.9,56.9,121.8,90.5,88.1,0.22,0.18,0.171,0.14,0.423,46.6,54.1,47.5,0.6,0.7
JNJ,2014-09-28,0.10400000000000001,0.149,0.24600000000000002,0.24600000000000002,0.708,0.353,0.32,0.302,0.257,0.257,0.257,0.182,0.295,0.299,0.6,4.6,6.2,2.6,2.6,1.9,0.8,58.8,139.7,102.8,95.7,0.19899999999999998,0.166,0.172,0.14300000000000002,0.42,42.9,50.1,44.3,0.6,0.7
JNJ,2014-12-28,0.075,0.109,0.138,0.138,0.679,0.27,0.23600000000000002,0.21600000000000003,0.138,0.138,0.138,0.141,0.376,0.381,0.6,4.6,6.5,2.8,2.2,1.8,0.7,56.3,129.1,115.3,70.1,0.26899999999999996,0.212,0.217,0.171,0.465,28.4,35.5,24.7,1.0,1.4
JNJ,2015-03-29,0.10300000000000001,0.152,0.251,0.251,0.696,0.359,0.326,0.308,0.249,0.249,0.249,0.19,-0.127,-0.122,0.5,4.4,6.2,2.6,2.4,1.8,0.5,59.0,140.1,116.1,83.1,0.28600000000000003,0.222,0.223,0.17300000000000001,0.47200000000000003,38.7,45.2,41.3,0.8,0.9
JNJ,2015-06-28,0.094,0.138,0.26,0.26,0.6990000000000001,0.326,0.294,0.276,0.254,0.254,0.254,0.172,0.149,0.153,0.5,4.6,6.1,2.6,2.5,1.9,0.9,60.1,139.1,90.7,108.5,0.273,0.215,0.2,0.157,0.461,37.5,44.3,38.5,0.8,1.0
