Company,Quarter,Return on Assets,Return on Equity,Return on Common Equity,Earnings from Cont. Ops Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin
JPM,2013-03-31,0.011000000000000001,0.127,0.125,0.266,0.25,0.24
JPM,2013-06-30,0.011000000000000001,0.125,0.125,0.258,0.245,0.247
JPM,2013-09-30,-0.001,-0.006999999999999999,-0.013000000000000001,-0.016,-0.027000000000000003,0.247
JPM,2013-12-31,0.009000000000000001,0.10099999999999999,0.1,0.22899999999999998,0.214,0.225
JPM,2014-03-31,0.009000000000000001,0.098,0.09699999999999999,0.23600000000000002,0.21899999999999997,0.21600000000000003
JPM,2014-06-30,0.01,0.107,0.10800000000000001,0.249,0.23199999999999998,0.24
JPM,2014-09-30,0.009000000000000001,0.09699999999999999,0.098,0.235,0.21600000000000003,0.237
JPM,2014-12-31,0.008,0.085,0.085,0.225,0.205,0.217
JPM,2015-03-31,0.009000000000000001,0.10099999999999999,0.102,0.256,0.23600000000000002,0.24100000000000002
JPM,2015-06-30,0.01,0.105,0.107,0.275,0.252,0.237
JPM,2015-09-30,0.011000000000000001,0.11199999999999999,0.115,0.308,0.284,0.228
JPM,2015-12-31,0.009000000000000001,0.08800000000000001,0.08900000000000001,0.257,0.23199999999999998,0.222
JPM,2016-03-31,0.009000000000000001,0.08900000000000001,0.091,0.258,0.23600000000000002,0.22
JPM,2016-06-30,0.01,0.099,0.102,0.27,0.249,0.242
JPM,2016-09-30,0.01,0.099,0.102,0.26899999999999996,0.248,0.237
JPM,2016-12-31,0.011000000000000001,0.106,0.11,0.299,0.278,0.247
JPM,2017-03-31,0.01,0.10099999999999999,0.10400000000000001,0.273,0.253,0.226
JPM,2017-06-30,0.011000000000000001,0.109,0.113,0.294,0.27399999999999997,0.24
JPM,2017-09-30,0.011000000000000001,0.10400000000000001,0.10800000000000001,0.27899999999999997,0.26,0.245
JPM,2017-12-31,0.006999999999999999,0.066,0.065,0.183,0.16399999999999998,0.218
JPM,2018-03-31,0.013999999999999999,0.136,0.14300000000000002,0.326,0.308,0.251
JPM,2018-06-30,0.013000000000000001,0.13,0.13699999999999998,0.313,0.297,0.249
JPM,2018-09-30,0.013000000000000001,0.13,0.13699999999999998,0.318,0.302,0.254
JPM,2018-12-31,0.011000000000000001,0.11,0.115,0.29,0.272,0.226
JPM,2019-03-31,0.013999999999999999,0.142,0.151,0.33299999999999996,0.317,0.253
JPM,2019-06-30,0.013999999999999999,0.14800000000000002,0.157,0.35,0.33299999999999996,0.258
JPM,2019-09-30,0.013000000000000001,0.138,0.146,0.327,0.31,0.257
JPM,2019-12-31,0.013000000000000001,0.13,0.138,0.317,0.301,0.251
