Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
KO,2013-03-29,0.07200000000000001,0.095,0.214,0.215,0.608,0.272,0.22899999999999998,0.22899999999999998,0.16,0.159,0.159,0.145,0.23199999999999998,0.23800000000000002,0.5,3.0,9.0,5.0,1.0,0.8,0.1,38.9,69.9,106.7,2.2,1.068,0.516,0.435,0.21,0.628,24.8,29.5,24.6,2.9,3.5
KO,2013-06-28,0.095,0.124,0.32899999999999996,0.331,0.609,0.302,0.265,0.265,0.21100000000000002,0.21,0.21,0.177,0.192,0.198,0.6,3.5,9.7,5.5,1.0,0.8,0.4,37.6,66.1,174.1,-70.4,1.094,0.522,0.435,0.20800000000000002,0.635,27.7,31.6,26.9,2.3,2.7
KO,2013-09-27,0.078,0.102,0.302,0.304,0.602,0.27399999999999997,0.233,0.233,0.204,0.203,0.203,0.161,0.331,0.336,0.5,3.3,9.1,5.5,1.0,0.8,0.5,40.2,66.1,206.9,-100.6,1.115,0.527,0.43700000000000006,0.20600000000000002,0.637,31.2,36.7,30.5,2.7,3.3
KO,2013-12-31,0.067,0.086,0.207,0.209,0.609,0.265,0.23800000000000002,0.217,0.155,0.155,0.155,0.17800000000000002,-0.0,0.008,0.5,3.0,8.8,5.2,1.1,0.9,0.4,43.0,72.6,137.7,-22.0,1.109,0.526,0.573,0.272,0.629,16.1,19.6,13.4,3.2,4.6
KO,2014-03-28,0.069,0.08800000000000001,0.196,0.19699999999999998,0.614,0.281,0.237,0.237,0.154,0.153,0.153,0.152,0.127,0.134,0.5,2.8,8.4,4.9,1.0,0.8,0.1,41.6,70.7,122.4,-10.1,1.168,0.539,0.5660000000000001,0.261,0.639,20.2,24.0,20.4,3.2,3.8
KO,2014-06-27,0.09,0.11599999999999999,0.31,0.311,0.617,0.307,0.268,0.268,0.207,0.20600000000000002,0.20600000000000002,0.183,0.172,0.177,0.5,3.4,9.1,5.6,1.0,0.8,0.4,40.2,65.1,183.9,-78.7,1.173,0.54,0.544,0.25,0.6409999999999999,31.5,36.1,30.7,2.6,3.1
KO,2014-09-26,0.07400000000000001,0.094,0.25,0.251,0.613,0.27899999999999997,0.23600000000000002,0.23600000000000002,0.177,0.177,0.177,0.157,0.18600000000000003,0.192,0.5,3.2,8.7,5.4,1.1,0.9,0.4,41.6,67.0,216.9,-108.4,1.242,0.5539999999999999,0.598,0.267,0.65,25.1,29.6,24.4,3.1,3.8
KO,2014-12-31,0.057,0.073,0.096,0.09699999999999999,0.599,0.245,0.221,0.19899999999999998,0.071,0.071,0.071,0.134,0.008,0.016,0.5,3.0,9.1,5.5,1.0,0.8,0.3,42.2,70.3,143.6,-31.2,1.367,0.578,0.625,0.264,0.6679999999999999,15.5,19.1,13.5,3.9,5.6
KO,2015-04-03,0.069,0.08800000000000001,0.21,0.21100000000000002,0.617,0.28,0.23600000000000002,0.23600000000000002,0.146,0.145,0.145,0.135,0.049,0.075,0.5,3.0,9.6,5.2,1.2,0.9,0.2,38.8,71.6,117.2,-6.9,1.4680000000000002,0.595,0.902,0.365,0.6809999999999999,5.7,6.7,5.6,3.6,4.3
KO,2015-07-03,0.087,0.11,0.431,0.434,0.609,0.303,0.263,0.263,0.256,0.256,0.256,0.187,0.24,0.247,0.5,3.4,10.3,5.9,1.1,0.9,0.5,35.3,61.7,175.5,-78.4,1.556,0.609,0.915,0.358,0.6940000000000001,25.0,28.8,24.1,3.0,3.6
KO,2015-10-02,0.071,0.09,0.212,0.213,0.599,0.273,0.231,0.231,0.127,0.127,0.127,0.154,0.034,0.040999999999999995,0.5,3.4,10.2,6.0,1.2,0.9,0.4,35.9,61.0,207.2,-110.3,1.7690000000000001,0.639,0.998,0.36,0.718,19.1,22.6,18.6,3.7,4.5
KO,2015-12-31,0.054000000000000006,0.069,0.19,0.192,0.595,0.25,0.21899999999999997,0.19699999999999998,0.124,0.124,0.124,0.132,0.095,0.10400000000000001,0.4,3.2,10.0,5.6,1.2,0.9,0.3,35.9,64.5,138.2,-37.9,1.723,0.633,1.1079999999999999,0.40700000000000003,0.7140000000000001,13.8,17.5,11.3,4.4,6.9
KO,2016-04-01,0.068,0.086,0.235,0.235,0.604,0.28300000000000003,0.23800000000000002,0.23800000000000002,0.145,0.14400000000000002,0.14400000000000002,0.152,0.054000000000000006,0.062,0.5,3.3,10.2,5.5,1.2,0.9,0.1,36.2,67.3,128.6,-25.1,1.875,0.652,1.079,0.375,0.725,17.4,20.6,16.8,4.1,5.0
KO,2016-07-01,0.084,0.106,0.5329999999999999,0.535,0.613,0.309,0.27,0.27,0.3,0.299,0.299,0.183,0.324,0.332,0.5,3.7,10.4,5.9,1.2,1.0,0.4,35.2,61.6,190.4,-93.6,1.804,0.643,1.093,0.39,0.715,19.2,22.0,18.6,3.4,4.0
KO,2016-09-30,0.064,0.081,0.158,0.159,0.611,0.265,0.226,0.226,0.099,0.098,0.098,0.156,0.23600000000000002,0.247,0.5,3.6,9.6,5.7,1.4,1.1,0.4,37.9,63.4,238.5,-137.2,1.806,0.644,1.209,0.431,0.721,13.2,15.5,12.9,4.2,5.0
KO,2016-12-31,0.055,0.07,0.08800000000000001,0.09,0.597,0.261,0.231,0.212,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.13,-0.016,0.001,0.4,3.5,9.5,5.6,1.3,1.0,0.3,38.8,65.8,166.9,-62.3,1.9709999999999999,0.6629999999999999,1.28,0.431,0.7340000000000001,8.0,9.9,7.1,4.7,6.5
