Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
MCD,2013-03-31,0.136,0.166,0.33299999999999996,0.33299999999999996,0.376,0.345,0.28600000000000003,0.28600000000000003,0.192,0.192,0.192,0.168,0.114,0.126,0.8,1.1,20.3,145.3,1.4,1.0,2.2,17.7,2.5,21.6,-1.4,0.84,0.457,0.84,0.457,0.5539999999999999,14.7,17.8,12.8,1.4,1.9
MCD,2013-06-30,0.157,0.191,0.368,0.368,0.39,0.36,0.305,0.305,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.18,0.11800000000000001,0.13,0.8,1.2,22.4,162.2,1.7,1.3,2.2,16.3,2.2,17.2,1.3,0.8809999999999999,0.46799999999999997,0.8809999999999999,0.46799999999999997,0.56,16.6,19.6,15.0,1.3,1.7
MCD,2013-09-30,0.168,0.20600000000000002,0.401,0.401,0.397,0.376,0.322,0.322,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.191,0.314,0.326,0.8,1.2,22.6,159.8,1.2,1.0,2.1,16.3,2.3,17.3,1.2,0.889,0.47100000000000003,0.889,0.47100000000000003,0.573,18.1,21.1,15.8,1.2,1.6
MCD,2013-12-31,0.147,0.18,0.358,0.358,0.387,0.35600000000000004,0.298,0.298,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.175,0.006999999999999999,0.019,0.8,1.1,21.8,147.0,1.6,1.3,2.4,16.9,2.5,20.5,-1.1,0.883,0.469,0.883,0.469,0.563,15.8,18.9,12.1,1.4,2.2
MCD,2014-03-31,0.13,0.157,0.3,0.3,0.376,0.344,0.28300000000000003,0.28300000000000003,0.18,0.18,0.18,0.16399999999999998,0.14300000000000002,0.155,0.7,1.0,21.0,145.6,1.6,1.3,2.5,17.1,2.5,20.7,-1.1,0.862,0.46299999999999997,0.856,0.46,0.556,14.0,17.0,12.8,1.5,2.0
MCD,2014-06-30,0.145,0.175,0.344,0.344,0.38799999999999996,0.358,0.3,0.3,0.193,0.193,0.193,0.179,0.113,0.125,0.8,1.1,22.8,162.2,1.7,1.5,1.8,16.0,2.2,18.5,-0.3,0.955,0.489,0.922,0.47100000000000003,0.5720000000000001,15.6,18.6,14.3,1.5,1.9
MCD,2014-09-30,0.14300000000000002,0.174,0.287,0.287,0.384,0.36,0.301,0.301,0.153,0.153,0.153,0.17300000000000001,0.28300000000000003,0.297,0.8,1.1,22.2,159.7,1.2,1.1,1.8,16.6,2.3,19.4,-0.5,1.11,0.526,1.065,0.505,0.622,14.1,16.9,12.5,1.5,2.0
MCD,2014-12-31,0.126,0.157,0.332,0.332,0.376,0.332,0.27,0.27,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.152,-0.039,-0.024,0.7,1.1,21.5,152.5,1.5,1.2,2.2,17.1,2.4,19.1,0.4,1.163,0.5379999999999999,1.163,0.5379999999999999,0.624,11.5,14.2,9.2,1.7,2.6
MCD,2015-03-31,0.122,0.151,0.268,0.268,0.369,0.336,0.272,0.272,0.136,0.136,0.136,0.149,0.182,0.19699999999999998,0.7,1.0,20.7,144.0,1.3,1.0,2.5,17.4,2.5,18.8,1.2,1.253,0.556,1.253,0.556,0.645,11.0,13.6,10.9,1.8,2.2
MCD,2015-06-30,0.141,0.175,0.43799999999999994,0.43799999999999994,0.38299999999999995,0.35200000000000004,0.292,0.292,0.185,0.185,0.185,0.16699999999999998,0.168,0.182,0.8,1.1,22.9,159.4,2.2,1.9,2.2,15.9,2.3,17.5,0.7,1.695,0.629,1.695,0.629,0.698,12.7,15.3,12.6,2.0,2.4
MCD,2015-09-30,0.14800000000000002,0.183,0.555,0.555,0.392,0.36200000000000004,0.303,0.303,0.198,0.198,0.198,0.175,0.195,0.21,0.8,1.1,22.9,159.7,1.5,1.2,2.6,16.1,2.3,18.8,-0.4,2.165,0.684,2.165,0.684,0.748,12.5,14.9,12.3,1.9,2.3
MCD,2015-12-31,0.129,0.159,0.627,0.627,0.395,0.35,0.289,0.289,0.19,0.19,0.19,0.159,0.14800000000000002,0.166,0.7,1.1,20.8,153.9,3.3,3.0,1.9,17.7,2.4,20.1,-0.1,3.404,0.773,3.404,0.773,0.813,10.1,12.3,9.0,2.7,3.7
MCD,2016-03-31,0.121,0.149,0.8220000000000001,0.8220000000000001,0.392,0.359,0.294,0.294,0.191,0.191,0.191,0.162,0.187,0.21,0.7,1.0,19.2,148.2,1.8,1.6,2.4,19.0,2.5,19.4,2.0,6.045,0.858,6.045,0.858,0.8859999999999999,8.0,9.7,7.9,2.8,3.4
MCD,2016-06-30,0.149,0.185,1.942,1.942,0.413,0.379,0.318,0.318,0.174,0.174,0.174,0.17800000000000002,0.127,0.149,0.7,1.1,20.6,162.5,1.9,1.6,1.9,17.6,2.2,15.2,4.7,40.641,0.976,40.641,0.976,0.981,8.9,10.6,9.0,2.7,3.2
MCD,2016-09-30,0.165,0.212,,,0.428,0.395,0.337,0.337,0.19899999999999998,0.19899999999999998,0.19899999999999998,0.19,0.452,0.474,0.8,1.1,19.6,165.4,1.0,0.8,2.0,18.7,2.2,17.8,3.1,,1.067,,1.067,1.05,9.8,11.4,9.6,2.6,3.1
MCD,2016-12-31,0.152,0.201,,,0.424,0.38299999999999995,0.32,0.32,0.198,0.198,0.198,0.179,-0.31,-0.287,0.8,1.1,17.1,185.8,1.4,0.8,0.9,21.5,2.0,21.5,2.0,,1.093,,1.09,1.071,8.7,10.3,7.3,2.8,4.0
MCD,2017-03-31,0.151,0.195,,,0.428,0.39299999999999996,0.336,0.336,0.214,0.214,0.214,0.19,0.125,0.15,0.7,1.1,16.2,224.5,1.8,1.2,1.9,22.3,1.6,19.9,4.0,,1.081,,1.072,1.063,8.7,10.2,8.3,3.0,3.8
MCD,2017-06-30,0.168,0.212,,,0.44799999999999995,0.41700000000000004,0.361,0.361,0.231,0.231,0.231,0.204,0.12300000000000001,0.147,0.7,1.1,17.3,235.5,2.1,1.4,1.8,21.0,1.5,16.5,6.0,,1.0759999999999998,,1.068,1.061,9.5,10.9,9.3,2.8,3.3
