Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
MMM,2013-03-31,0.121,0.16899999999999998,0.251,0.253,0.48,0.26,0.223,0.21600000000000003,0.15,0.14800000000000002,0.14800000000000002,0.13,0.064,0.067,0.9,3.7,7.2,4.1,2.3,1.5,0.7,50.0,86.8,40.8,96.0,0.32,0.243,0.263,0.19899999999999998,0.456,42.2,50.8,42.5,0.7,0.9
MMM,2013-06-30,0.125,0.175,0.263,0.266,0.48200000000000004,0.263,0.22699999999999998,0.22,0.156,0.154,0.154,0.133,0.152,0.156,0.9,3.7,6.9,4.1,2.2,1.4,1.1,52.6,87.7,41.4,99.0,0.325,0.245,0.267,0.201,0.46299999999999997,41.5,49.7,40.1,0.7,0.9
MMM,2013-09-30,0.128,0.18,0.272,0.276,0.47600000000000003,0.263,0.22699999999999998,0.22,0.157,0.155,0.155,0.134,0.09300000000000001,0.095,0.9,3.8,6.9,4.2,1.8,1.1,0.6,53.1,87.2,40.1,100.3,0.317,0.24,0.19399999999999998,0.147,0.457,52.7,63.1,50.8,0.7,0.9
MMM,2013-12-31,0.11800000000000001,0.16399999999999998,0.247,0.25,0.475,0.256,0.21600000000000003,0.209,0.147,0.146,0.146,0.127,0.267,0.26899999999999996,0.9,3.5,6.8,4.1,1.7,1.0,1.1,53.8,90.4,41.6,102.6,0.33799999999999997,0.253,0.245,0.183,0.465,49.3,60.5,43.5,0.8,1.1
MMM,2014-03-31,0.128,0.177,0.273,0.276,0.485,0.264,0.226,0.21899999999999997,0.156,0.154,0.154,0.132,0.017,0.02,0.9,3.6,7.1,4.1,1.7,1.0,0.6,50.9,87.5,39.8,98.5,0.36700000000000005,0.268,0.24600000000000002,0.18,0.466,46.4,55.8,47.9,0.8,0.9
MMM,2014-06-30,0.13699999999999998,0.188,0.287,0.29100000000000004,0.486,0.272,0.235,0.228,0.158,0.156,0.156,0.138,0.133,0.136,1.0,3.8,7.0,4.2,1.9,1.1,0.9,52.3,87.7,39.2,100.8,0.391,0.281,0.298,0.215,0.475,41.2,49.2,41.6,0.8,0.9
MMM,2014-09-30,0.142,0.196,0.308,0.311,0.483,0.27699999999999997,0.24100000000000002,0.23399999999999999,0.161,0.16,0.16,0.14300000000000002,0.196,0.198,1.0,3.8,6.9,4.2,1.6,1.0,0.9,53.5,87.9,41.3,100.2,0.45399999999999996,0.312,0.32299999999999995,0.222,0.506,67.9,80.4,67.2,0.8,1.0
MMM,2014-12-31,0.13,0.191,0.321,0.322,0.478,0.261,0.223,0.215,0.153,0.153,0.153,0.133,0.289,0.29100000000000004,1.0,3.6,6.9,4.2,2.1,1.3,1.5,53.3,87.4,43.8,97.0,0.523,0.34299999999999997,0.515,0.33799999999999997,0.579,51.9,62.9,47.6,0.9,1.1
MMM,2015-03-31,0.14,0.213,0.355,0.355,0.496,0.273,0.235,0.228,0.158,0.158,0.158,0.14,-0.053,-0.051,1.0,3.6,7.0,4.1,2.5,1.4,0.9,51.3,87.3,42.5,96.1,0.47200000000000003,0.321,0.46299999999999997,0.314,0.545,55.8,66.7,57.4,0.8,0.9
MMM,2015-06-30,0.14800000000000002,0.218,0.385,0.385,0.498,0.284,0.24600000000000002,0.239,0.17,0.16899999999999998,0.16899999999999998,0.147,0.127,0.129,1.0,3.7,6.8,4.1,2.6,1.6,1.1,53.2,89.1,40.0,102.3,0.649,0.39299999999999996,0.642,0.389,0.5820000000000001,52.6,62.4,51.8,1.0,1.2
