Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
MRK,2013-03-31,0.046,0.064,0.11599999999999999,0.12,0.633,0.33299999999999996,0.295,0.182,0.151,0.149,0.149,0.11,0.183,0.19399999999999998,0.4,2.7,5.5,2.4,1.9,1.3,0.5,65.9,152.9,41.6,177.3,0.375,0.272,0.289,0.21100000000000002,0.47600000000000003,10.6,19.3,17.4,1.5,1.6
MRK,2013-06-30,0.051,0.071,0.071,0.07200000000000001,0.649,0.345,0.308,0.19899999999999998,0.085,0.08199999999999999,0.08199999999999999,0.11699999999999999,0.14400000000000002,0.156,0.4,2.8,5.6,2.3,2.0,1.4,0.5,65.1,159.6,51.2,173.4,0.562,0.36,0.45,0.28800000000000003,0.531,10.9,18.9,16.8,1.9,2.1
MRK,2013-09-30,0.061,0.085,0.092,0.095,0.637,0.384,0.342,0.23800000000000002,0.10400000000000001,0.102,0.102,0.142,0.322,0.33399999999999996,0.4,2.8,5.7,2.4,2.1,1.4,0.9,64.0,155.1,54.6,164.6,0.5329999999999999,0.348,0.45299999999999996,0.29600000000000004,0.53,12.2,19.7,18.0,1.6,1.7
MRK,2013-12-31,0.057,0.078,0.064,0.064,0.629,0.353,0.324,0.213,0.07200000000000001,0.069,0.069,0.124,0.275,0.28600000000000003,0.4,3.0,6.0,2.6,2.0,1.4,0.7,61.1,142.1,59.2,144.0,0.479,0.324,0.39299999999999996,0.266,0.505,12.0,19.9,17.8,1.6,1.8
MRK,2014-03-31,0.053,0.07200000000000001,0.132,0.13699999999999998,0.631,0.37,0.331,0.221,0.16899999999999998,0.166,0.166,0.134,0.07,0.081,0.4,2.8,5.6,2.4,1.8,1.2,0.4,64.2,149.9,53.9,160.2,0.536,0.349,0.373,0.243,0.515,12.1,20.2,19.1,1.9,2.0
MRK,2014-06-30,0.057,0.077,0.161,0.163,0.628,0.35100000000000003,0.314,0.215,0.18600000000000003,0.183,0.183,0.127,0.24600000000000002,0.257,0.4,3.1,6.2,2.6,1.9,1.1,0.5,59.1,140.2,56.7,142.6,0.47600000000000003,0.322,0.38299999999999995,0.26,0.504,12.5,20.4,18.8,1.5,1.6
MRK,2014-09-30,0.06,0.08199999999999999,0.07200000000000001,0.077,0.647,0.35700000000000004,0.32,0.226,0.08,0.085,0.085,0.138,0.524,0.535,0.4,3.1,6.2,2.5,1.3,0.8,0.7,59.0,147.7,62.2,144.5,0.614,0.381,0.41,0.254,0.5539999999999999,12.5,19.8,18.1,1.8,2.0
MRK,2014-12-31,0.059000000000000004,0.08199999999999999,0.623,0.623,0.652,0.35700000000000004,0.321,0.225,0.6990000000000001,0.698,0.698,0.138,0.369,0.379,0.4,3.2,6.4,2.6,1.8,1.2,,57.9,143.8,66.4,135.2,0.439,0.305,0.384,0.267,0.503,14.3,22.7,19.7,1.4,1.6
MRK,2015-03-31,0.048,0.067,0.079,0.079,0.636,0.379,0.342,0.21,0.102,0.10099999999999999,0.10099999999999999,0.129,0.23,0.24100000000000002,0.4,2.9,5.7,2.5,1.6,1.1,0.4,63.7,145.7,62.4,147.0,0.631,0.387,0.5329999999999999,0.326,0.5579999999999999,12.1,21.8,20.5,2.1,2.2
MRK,2015-06-30,0.047,0.066,0.057999999999999996,0.057999999999999996,0.632,0.363,0.322,0.203,0.07,0.07,0.07,0.125,0.22399999999999998,0.23600000000000002,0.4,3.1,5.9,2.7,1.6,1.0,0.6,61.3,136.9,59.7,138.4,0.57,0.363,0.517,0.32899999999999996,0.545,11.4,20.4,18.8,1.9,2.0
MRK,2015-09-30,0.06,0.084,0.159,0.159,0.634,0.395,0.368,0.243,0.182,0.18100000000000002,0.18100000000000002,0.154,0.319,0.32899999999999996,0.4,3.2,6.2,2.8,1.6,1.1,0.8,59.0,130.0,57.1,131.8,0.584,0.369,0.528,0.33299999999999996,0.5489999999999999,14.8,24.1,22.2,1.7,1.8
MRK,2015-12-31,0.063,0.08800000000000001,0.087,0.087,0.631,0.396,0.36,0.248,0.096,0.096,0.096,0.134,0.42200000000000004,0.43200000000000005,0.4,3.3,6.3,3.1,1.5,1.0,0.9,58.2,119.7,62.5,115.4,0.591,0.371,0.5329999999999999,0.335,0.56,15.0,24.0,21.0,1.6,1.9
MRK,2016-03-31,0.054000000000000006,0.076,0.102,0.102,0.649,0.389,0.35200000000000004,0.23,0.121,0.121,0.121,0.139,0.19699999999999998,0.209,0.4,3.0,5.6,2.7,1.6,1.1,0.5,65.3,136.3,59.1,142.5,0.5870000000000001,0.37,0.539,0.34,0.555,12.5,21.1,19.5,1.8,1.9
