Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
MSFT,2013-03-31,0.159,0.23399999999999999,0.325,0.325,0.7659999999999999,0.456,0.41600000000000004,0.40700000000000003,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.252,0.34600000000000003,0.349,0.6,9.2,6.2,10.1,2.9,2.7,1.2,57.8,35.7,76.1,17.4,0.193,0.161,0.156,0.131,0.428,76.6,85.7,77.2,0.4,0.4
MSFT,2013-06-30,0.11,0.163,0.255,0.255,0.718,0.341,0.314,0.305,0.25,0.25,0.25,0.192,0.131,0.134,0.6,8.3,5.4,11.0,2.7,2.5,0.6,67.4,33.1,78.8,21.7,0.20600000000000002,0.171,0.16,0.132,0.446,50.6,56.6,41.7,0.6,0.8
MSFT,2013-09-30,0.111,0.16399999999999998,0.261,0.261,0.722,0.391,0.35100000000000003,0.342,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.217,0.366,0.37,0.5,7.1,5.2,9.0,2.9,2.6,0.9,70.7,40.7,76.4,35.0,0.20199999999999999,0.168,0.155,0.129,0.426,53.7,61.4,50.9,0.6,0.7
MSFT,2013-12-31,0.135,0.192,0.315,0.315,0.6609999999999999,0.374,0.332,0.325,0.267,0.267,0.267,0.201,0.031,0.034,0.7,8.8,7.3,15.8,3.2,2.9,0.5,50.6,23.3,64.5,9.4,0.27899999999999997,0.218,0.243,0.19,0.446,59.0,68.0,55.2,0.6,0.8
MSFT,2014-03-31,0.113,0.159,0.262,0.262,0.7070000000000001,0.401,0.35,0.342,0.27699999999999997,0.27699999999999997,0.27699999999999997,0.21,0.379,0.384,0.5,7.0,5.5,13.6,3.2,3.0,1.2,65.0,26.5,71.2,20.2,0.268,0.212,0.237,0.18600000000000003,0.44,39.9,46.7,39.9,0.7,0.8
MSFT,2014-06-30,0.10099999999999999,0.14800000000000002,0.20800000000000002,0.20800000000000002,0.674,0.322,0.297,0.28300000000000003,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.172,0.363,0.36700000000000005,0.6,7.5,5.7,13.3,2.5,2.3,0.8,64.3,27.3,65.3,26.3,0.258,0.205,0.23,0.183,0.479,39.1,44.6,36.7,0.8,0.9
MSFT,2014-09-30,0.102,0.154,0.20199999999999999,0.20199999999999999,0.643,0.361,0.317,0.301,0.196,0.196,0.196,0.187,0.28600000000000003,0.29,0.5,7.1,5.7,11.4,2.5,2.3,0.7,64.3,32.3,74.6,21.9,0.265,0.21,0.205,0.162,0.469,43.4,52.0,44.0,0.7,0.8
MSFT,2014-12-31,0.11599999999999999,0.171,0.258,0.258,0.617,0.36,0.315,0.303,0.221,0.221,0.221,0.184,0.006999999999999999,0.011000000000000001,0.6,7.9,7.3,15.6,2.5,2.2,0.4,50.5,23.6,69.7,4.4,0.313,0.23800000000000002,0.19899999999999998,0.151,0.475,49.5,58.8,49.6,0.8,0.9
MSFT,2015-03-31,0.096,0.14,0.21899999999999997,0.21899999999999997,0.67,0.381,0.32899999999999996,0.312,0.22899999999999998,0.22899999999999998,0.22899999999999998,0.188,0.37,0.376,0.5,6.2,6.1,12.7,2.9,2.6,0.9,59.3,28.4,80.9,6.8,0.355,0.262,0.307,0.226,0.49,32.2,39.3,32.7,1.0,1.2
MSFT,2015-06-30,0.091,0.134,-0.15,-0.15,0.6629999999999999,0.33299999999999996,0.297,0.28800000000000003,-0.14400000000000002,-0.14400000000000002,-0.14400000000000002,0.184,0.27399999999999997,0.281,0.5,6.1,5.8,11.1,2.5,2.3,0.6,62.2,32.7,76.5,18.5,0.442,0.306,0.34700000000000003,0.24100000000000002,0.541,25.9,29.9,22.7,1.2,1.6
