Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
NKE,2013-02-28,0.142,0.205,0.256,0.256,0.442,0.152,0.142,0.141,0.107,0.14,0.107,0.087,0.055,0.055999999999999994,1.6,11.0,7.7,4.2,3.4,2.1,0.5,46.7,86.7,35.9,97.5,0.03,0.028999999999999998,0.015,0.015,0.317,218.3,234.8,191.0,0.1,0.1
NKE,2013-05-31,0.136,0.192,0.251,0.251,0.439,0.16,0.14300000000000002,0.135,0.102,0.098,0.102,0.083,0.163,0.165,1.6,11.4,8.4,4.4,3.4,2.3,1.3,43.6,83.4,33.6,93.5,0.128,0.114,0.109,0.09699999999999999,0.368,56.4,67.1,56.3,0.3,0.4
NKE,2013-08-31,0.152,0.213,0.27899999999999997,0.27899999999999997,0.449,0.17600000000000002,0.158,0.154,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.09300000000000001,0.026000000000000002,0.027000000000000003,1.6,11.1,8.8,4.4,3.5,2.3,0.6,41.7,83.3,38.1,86.9,0.122,0.109,0.107,0.095,0.36200000000000004,119.3,136.2,109.0,0.3,0.4
NKE,2013-11-30,0.10400000000000001,0.145,0.18899999999999997,0.18899999999999997,0.439,0.13699999999999998,0.114,0.114,0.083,0.083,0.083,0.069,0.005,0.006,1.4,9.9,8.0,4.0,3.5,2.2,0.3,45.4,90.5,37.7,98.2,0.122,0.109,0.106,0.094,0.363,81.7,97.8,75.1,0.4,0.5
NKE,2014-02-28,0.131,0.185,0.243,0.243,0.445,0.153,0.142,0.134,0.098,0.098,0.098,0.079,0.106,0.107,1.6,10.4,8.5,4.1,3.4,2.1,0.7,42.4,87.5,34.8,95.0,0.11900000000000001,0.107,0.10800000000000001,0.096,0.375,84.9,97.1,77.0,0.3,0.4
NKE,2014-05-31,0.129,0.18899999999999997,0.254,0.254,0.456,0.147,0.128,0.126,0.094,0.094,0.094,0.077,0.184,0.184,1.6,10.7,8.7,4.2,2.7,1.7,1.1,42.1,88.5,37.0,93.5,0.139,0.122,0.11800000000000001,0.10300000000000001,0.418,104.1,121.3,98.0,0.3,0.4
NKE,2014-08-31,0.16699999999999998,0.25,0.35100000000000003,0.35100000000000003,0.466,0.175,0.156,0.155,0.121,0.121,0.121,0.096,0.021,0.022000000000000002,1.7,11.1,9.1,4.3,2.8,1.7,0.6,40.5,86.1,40.7,85.9,0.121,0.10800000000000001,0.10800000000000001,0.096,0.4,124.1,139.6,113.4,0.2,0.3
NKE,2014-11-30,0.11800000000000001,0.175,0.23,0.23,0.451,0.142,0.12,0.12,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.07400000000000001,0.034,0.035,1.6,10.1,8.4,4.0,2.8,1.7,0.7,43.4,91.8,44.1,91.2,0.11,0.099,0.09300000000000001,0.083,0.39,80.8,95.5,75.0,0.3,0.4
NKE,2015-02-28,0.132,0.19699999999999998,0.263,0.263,0.45899999999999996,0.162,0.14400000000000002,0.14,0.106,0.106,0.106,0.08800000000000001,0.111,0.111,1.5,10.3,8.8,3.8,2.7,1.6,1.3,40.7,93.7,42.4,91.9,0.10099999999999999,0.092,0.087,0.079,0.39799999999999996,149.6,173.1,139.4,0.3,0.3
NKE,2015-05-31,0.11800000000000001,0.18100000000000002,0.276,0.276,0.462,0.15,0.13,0.128,0.111,0.111,0.111,0.085,0.19899999999999998,0.19899999999999998,1.5,10.6,9.4,3.9,2.5,1.5,0.8,39.3,94.3,42.5,91.1,0.099,0.09,0.085,0.077,0.41200000000000003,166.3,194.3,154.3,0.3,0.3
