Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
PG,2013-03-31,0.061,0.085,0.153,0.153,0.498,0.201,0.172,0.165,0.126,0.125,0.122,0.099,0.10099999999999999,0.106,0.6,3.9,11.9,5.7,0.9,0.5,0.6,30.3,62.9,63.3,29.9,0.474,0.322,0.311,0.21100000000000002,0.512,20.9,25.4,19.9,1.9,2.5
PG,2013-06-30,,,,,,,,,,,,,,,,,,,0.8,0.4,,,,,,0.45899999999999996,0.315,0.278,0.191,0.507,,,,,
PG,2013-09-30,0.071,0.09699999999999999,0.171,0.17,0.494,0.235,0.203,0.19699999999999998,0.145,0.15,0.141,0.11699999999999999,0.062,0.067,0.6,3.7,12.4,5.7,0.8,0.4,0.2,29.8,64.5,70.0,24.3,0.505,0.336,0.26899999999999996,0.17800000000000002,0.512,23.9,28.6,24.2,1.8,2.2
PG,2013-12-31,0.076,0.10300000000000001,0.19,0.18899999999999997,0.504,0.24,0.21,0.204,0.156,0.162,0.151,0.121,0.087,0.092,0.6,3.8,12.5,5.7,0.9,0.5,0.4,29.4,64.9,64.4,29.8,0.508,0.337,0.307,0.203,0.509,23.3,27.3,22.3,1.8,2.2
PG,2014-03-31,0.057999999999999996,0.078,0.14400000000000002,0.14300000000000002,0.489,0.209,0.175,0.168,0.129,0.133,0.125,0.1,0.124,0.13,0.5,3.5,11.8,5.5,0.9,0.5,0.5,30.4,65.5,66.8,29.1,0.519,0.342,0.297,0.196,0.511,18.4,22.8,17.5,2.2,2.9
PG,2014-06-30,0.068,0.09300000000000001,0.146,0.14300000000000002,0.495,0.242,0.20600000000000002,0.2,0.13,0.132,0.125,0.11800000000000001,0.051,0.057,0.5,3.5,12.3,5.7,0.9,0.5,0.5,29.6,64.4,77.1,16.8,0.506,0.336,0.28300000000000003,0.188,0.515,21.9,26.5,19.6,1.9,2.5
PG,2014-09-30,0.064,0.08800000000000001,0.159,0.158,0.48100000000000004,0.23600000000000002,0.2,0.19399999999999998,0.145,0.106,0.14,0.115,0.242,0.248,0.5,3.4,11.9,5.6,0.9,0.5,0.5,30.8,65.5,76.4,19.9,0.49700000000000005,0.332,0.284,0.19,0.516,21.4,26.0,21.3,1.9,2.3
PG,2014-12-31,0.065,0.09,0.163,0.161,0.483,0.23399999999999999,0.2,0.19399999999999998,0.145,0.128,0.139,0.11599999999999999,-0.034,-0.028999999999999998,0.5,3.5,12.3,5.6,1.0,0.5,0.4,29.8,65.3,82.4,12.7,0.532,0.34700000000000003,0.28,0.183,0.524,22.4,27.0,21.8,2.0,2.5
PG,2015-03-31,0.057,0.078,0.15,0.14800000000000002,0.473,0.225,0.185,0.179,0.142,0.127,0.136,0.10800000000000001,0.193,0.19899999999999998,0.5,3.3,12.6,5.8,1.0,0.6,0.4,28.7,62.4,81.0,10.0,0.512,0.33899999999999997,0.27399999999999997,0.18100000000000002,0.516,20.4,25.8,20.2,2.1,2.7
PG,2015-06-30,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,0.48100000000000004,0.325,0.29100000000000004,0.196,0.513,,,,,
