Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
TRV,2013-03-31,0.031,0.10400000000000001,0.141,0.14,0.35200000000000004,0.242,0.209,0.207,0.142,0.142,0.141,0.12,0.265,0.27399999999999997,0.2,,4.2,,0.4,0.2,0.0,86.5,,,,0.22899999999999998,0.18600000000000003,0.22899999999999998,0.18600000000000003,0.754,14.3,16.6,16.6,1.0,1.0
TRV,2013-06-30,0.027999999999999997,0.094,0.147,0.145,0.319,0.21100000000000002,0.18,0.17800000000000002,0.141,0.141,0.139,0.10300000000000001,0.244,0.252,0.3,,4.1,,0.4,0.2,0.0,88.9,,,,0.235,0.19,0.235,0.19,0.7559999999999999,13.6,16.1,16.1,1.1,1.1
TRV,2013-09-30,0.031,0.10099999999999999,0.139,0.138,0.33899999999999997,0.226,0.196,0.19399999999999998,0.134,0.134,0.133,0.11199999999999999,0.034,0.043,0.3,,4.1,,0.4,0.2,0.1,90.1,,,,0.256,0.204,0.256,0.204,0.758,13.7,16.0,16.0,1.1,1.1
TRV,2013-12-31,0.036000000000000004,0.11800000000000001,0.159,0.158,0.36200000000000004,0.252,0.221,0.21899999999999997,0.147,0.147,0.146,0.128,0.132,0.141,0.3,,4.3,,0.4,0.2,0.1,85.9,,,,0.256,0.204,0.252,0.201,0.7609999999999999,16.0,18.5,18.5,0.9,0.9
TRV,2014-03-31,0.038,0.124,0.168,0.16699999999999998,0.364,0.267,0.235,0.233,0.157,0.157,0.156,0.13699999999999998,0.895,0.904,0.3,,4.2,,0.4,0.2,0.0,85.3,,,,0.25,0.2,0.25,0.2,0.7559999999999999,17.0,19.4,19.4,0.9,0.9
TRV,2014-06-30,0.024,0.078,0.107,0.107,0.294,0.17800000000000002,0.14800000000000002,0.146,0.10099999999999999,0.10099999999999999,0.1,0.083,0.32799999999999996,0.337,0.3,,4.1,,0.4,0.2,0.0,88.6,,,,0.249,0.19899999999999998,0.245,0.196,0.7559999999999999,10.8,13.1,13.1,1.3,1.3
TRV,2014-09-30,0.032,0.106,0.145,0.14300000000000002,0.34600000000000003,0.22699999999999998,0.198,0.196,0.133,0.133,0.132,0.114,0.139,0.147,0.3,,4.1,,0.4,0.2,0.1,89.4,,,,0.251,0.2,0.247,0.19699999999999998,0.758,14.5,16.8,16.8,1.0,1.0
TRV,2014-12-31,0.037000000000000005,0.12300000000000001,0.166,0.16399999999999998,0.382,0.26,0.23,0.22899999999999998,0.153,0.153,0.152,0.135,-0.335,-0.327,0.3,,4.2,,0.4,0.2,0.0,88.6,,,,0.256,0.204,0.252,0.2,0.759,16.9,19.2,19.2,0.9,0.9
TRV,2015-03-31,0.03,0.099,0.134,0.133,0.337,0.221,0.18899999999999997,0.187,0.126,0.126,0.125,0.10800000000000001,0.807,0.816,0.3,,4.0,,0.4,0.2,0.0,89.1,,,,0.256,0.204,0.256,0.204,0.758,13.5,15.9,15.9,1.1,1.1
TRV,2015-06-30,0.028999999999999998,0.095,0.133,0.132,0.32799999999999996,0.204,0.175,0.174,0.121,0.121,0.12,0.1,0.34700000000000003,0.35600000000000004,0.3,,4.0,,0.4,0.2,0.0,92.2,,,,0.263,0.20800000000000002,0.259,0.205,0.763,12.7,14.9,14.9,1.2,1.2
TRV,2015-09-30,0.034,0.114,0.154,0.153,0.35700000000000004,0.23399999999999999,0.207,0.20600000000000002,0.13699999999999998,0.13699999999999998,0.136,0.12,0.146,0.154,0.3,,4.0,,0.4,0.2,0.1,92.2,,,,0.281,0.21899999999999997,0.276,0.21600000000000003,0.765,14.9,16.9,16.9,1.1,1.1
TRV,2015-12-31,0.032,0.107,0.145,0.14400000000000002,0.35100000000000003,0.225,0.196,0.195,0.13,0.13,0.129,0.113,-0.371,-0.36200000000000004,0.3,,4.0,,0.4,0.2,0.1,91.1,,,,0.26899999999999996,0.212,0.265,0.209,0.764,13.7,15.8,15.8,1.1,1.1
TRV,2016-03-31,0.025,0.083,0.11599999999999999,0.115,0.3,0.183,0.151,0.151,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.086,0.348,0.35700000000000004,0.3,,3.9,,0.4,0.2,0.1,92.6,,,,0.263,0.20800000000000002,0.263,0.20800000000000002,0.762,11.1,13.4,13.4,1.3,1.3
