Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
UNH,2013-03-31,0.065,0.105,0.14800000000000002,0.152,0.23399999999999999,0.08199999999999999,0.071,0.071,0.040999999999999995,0.039,0.039,0.039,0.052000000000000005,0.055999999999999994,1.5,36.7,,,0.7,0.7,0.2,,,87.1,,0.532,0.34700000000000003,0.462,0.301,0.5920000000000001,12.0,13.9,12.1,1.8,2.1
UNH,2013-06-30,0.07400000000000001,0.11900000000000001,0.174,0.182,0.249,0.09,0.079,0.079,0.047,0.047,0.047,0.046,0.055999999999999994,0.06,1.5,31.5,,,0.7,0.6,0.2,,,94.6,,0.52,0.342,0.486,0.32,0.599,13.6,15.6,13.9,1.5,1.7
UNH,2013-09-30,0.081,0.133,0.192,0.198,0.256,0.09699999999999999,0.086,0.086,0.051,0.051,0.051,0.05,0.078,0.08199999999999999,1.5,32.2,,,0.7,0.6,0.5,,,98.0,,0.509,0.337,0.452,0.299,0.595,14.8,16.7,14.7,1.4,1.6
UNH,2013-12-31,0.075,0.122,0.172,0.17800000000000002,0.252,0.09,0.079,0.079,0.046,0.046,0.046,0.046,0.043,0.046,1.5,38.2,,,0.6,0.6,0.2,,,91.5,,0.511,0.33799999999999997,0.452,0.299,0.593,13.9,15.9,14.1,1.5,1.7
UNH,2014-03-31,0.062,0.102,0.131,0.136,0.24,0.076,0.065,0.065,0.035,0.035,0.035,0.037000000000000005,0.067,0.071,1.5,37.5,,,0.6,0.6,0.2,,,88.0,,0.499,0.33299999999999996,0.43200000000000005,0.289,0.6,12.8,15.1,12.9,1.7,2.0
UNH,2014-06-30,0.075,0.125,0.166,0.172,0.249,0.09,0.078,0.078,0.043,0.043,0.043,0.046,0.006,0.009000000000000001,1.5,31.3,,,0.7,0.6,0.1,,,95.3,,0.49,0.32899999999999996,0.428,0.287,0.599,16.5,18.8,16.5,1.4,1.6
UNH,2014-09-30,0.085,0.141,0.188,0.196,0.266,0.1,0.08900000000000001,0.08900000000000001,0.049,0.049,0.049,0.052000000000000005,0.064,0.067,1.5,30.6,,,0.6,0.6,0.4,,,100.2,,0.517,0.341,0.431,0.284,0.602,19.1,21.6,18.9,1.3,1.5
UNH,2014-12-31,0.08,0.134,0.17800000000000002,0.18600000000000003,0.256,0.094,0.083,0.083,0.045,0.045,0.045,0.049,0.075,0.078,1.6,36.6,,,0.7,0.6,0.3,,,94.1,,0.516,0.34,0.475,0.313,0.608,18.3,20.8,18.2,1.4,1.6
UNH,2015-03-31,0.075,0.128,0.168,0.17600000000000002,0.248,0.084,0.07400000000000001,0.07400000000000001,0.04,0.04,0.04,0.044000000000000004,0.071,0.07400000000000001,1.6,39.5,,,0.7,0.6,0.3,,,88.6,,0.551,0.355,0.467,0.301,0.629,17.6,20.1,17.6,1.5,1.7
UNH,2015-06-30,0.08,0.139,0.187,0.195,0.249,0.09,0.08,0.08,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.047,0.027999999999999997,0.03,1.6,33.3,,,0.7,0.6,0.1,,,97.5,,0.523,0.34299999999999997,0.445,0.292,0.621,19.2,21.7,19.4,1.4,1.5
