Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
V,2013-03-31,0.131,0.171,0.18600000000000003,0.18600000000000003,0.96,0.662,0.629,0.629,0.429,0.429,0.428,0.39299999999999996,0.456,0.456,0.3,7.1,9.1,,2.0,1.5,1.9,39.6,,87.7,,,,,,0.233,,,,,
V,2013-06-30,0.13,0.16899999999999998,0.182,0.18100000000000002,0.961,0.642,0.609,0.609,0.408,0.408,0.40700000000000003,0.382,0.618,0.618,0.3,7.1,10.6,,1.9,1.4,2.4,34.4,,96.8,,,,,,0.235,,,,,
V,2013-09-30,0.113,0.15,0.177,0.17600000000000002,0.9590000000000001,0.578,0.542,0.542,0.401,0.401,0.39899999999999997,0.34,0.574,0.574,0.3,8.4,9.9,,1.8,1.4,1.9,37.1,,118.8,,,,,,0.253,,,,,
V,2013-12-31,0.14400000000000002,0.193,0.209,0.20800000000000002,0.958,0.6920000000000001,0.6579999999999999,0.6579999999999999,0.446,0.446,0.444,0.413,0.40299999999999997,0.40299999999999997,0.3,8.7,8.7,,1.8,1.3,1.4,42.3,,99.3,,,,,,0.255,,,,,
V,2014-03-31,0.139,0.18899999999999997,0.235,0.235,0.9620000000000001,0.6809999999999999,0.647,0.647,0.505,0.505,0.504,0.40700000000000003,0.16699999999999998,0.16699999999999998,0.3,7.2,8.6,,1.7,1.0,1.6,41.8,,80.6,,,,,,0.268,,,,,
V,2014-06-30,0.135,0.185,0.19899999999999998,0.19899999999999998,0.96,0.675,0.64,0.64,0.431,0.431,0.43,0.402,0.529,0.529,0.3,7.1,9.0,,1.7,1.1,1.5,40.3,,77.0,,,,,,0.276,,,,,
V,2014-09-30,0.131,0.183,0.157,0.156,0.96,0.6559999999999999,0.621,0.621,0.332,0.332,0.331,0.386,0.37799999999999995,0.37799999999999995,0.3,8.7,9.4,,1.6,0.9,1.2,39.0,,89.1,,,,,,0.289,,,,,
V,2014-12-31,0.14400000000000002,0.20199999999999999,0.22699999999999998,0.226,0.966,0.6970000000000001,0.662,0.662,0.46399999999999997,0.46399999999999997,0.46299999999999997,0.418,0.467,0.467,0.3,8.8,10.3,,1.7,1.0,1.2,35.6,,113.8,,,,,,0.281,,,,,
V,2015-03-31,0.147,0.203,0.221,0.22,0.968,0.7070000000000001,0.67,0.67,0.455,0.455,0.45399999999999996,0.419,0.258,0.259,0.4,7.4,10.4,,1.9,1.1,0.7,34.5,,89.2,,,,,,0.273,,,,,
V,2015-06-30,0.145,0.19899999999999998,0.239,0.23800000000000002,0.9670000000000001,0.68,0.643,0.643,0.48200000000000004,0.48200000000000004,0.48100000000000004,0.385,0.56,0.56,0.4,7.6,10.1,,1.7,1.1,1.5,36.2,,66.1,,,,,,0.27399999999999997,,,,,
V,2015-09-30,0.146,0.196,0.207,0.20600000000000002,0.9620000000000001,0.6759999999999999,0.642,0.642,0.423,0.423,0.423,0.39899999999999997,0.6629999999999999,0.6629999999999999,0.4,9.2,11.7,,1.9,1.4,1.3,31.5,,74.1,,,,,,0.242,,,,,
V,2015-12-31,0.127,0.159,0.262,0.261,0.9640000000000001,0.706,0.672,0.672,0.544,0.544,0.5429999999999999,0.46299999999999997,0.391,0.396,0.3,9.1,12.7,,4.8,4.2,1.5,29.0,,88.0,,0.539,0.35,0.539,0.35,0.46399999999999997,82.6,86.8,82.4,1.6,1.7
V,2016-03-31,0.111,0.135,0.233,0.23199999999999998,0.965,0.705,0.672,0.672,0.47100000000000003,0.47100000000000003,0.47,0.401,0.255,0.278,0.3,7.7,12.4,,4.7,4.1,0.7,29.4,,75.1,,0.545,0.353,0.545,0.353,0.46399999999999997,18.4,19.4,18.4,1.6,1.6
V,2016-06-30,0.10400000000000001,0.131,0.053,0.057999999999999996,0.966,0.71,0.677,0.677,0.113,0.113,0.113,0.40399999999999997,0.794,0.8170000000000001,0.2,7.2,8.7,,1.8,1.5,0.2,41.9,,75.8,,0.484,0.326,0.484,0.326,0.486,18.8,19.7,18.7,1.5,1.6
V,2016-09-30,0.107,0.14,0.235,0.27699999999999997,0.9620000000000001,0.675,0.642,0.642,0.45299999999999996,0.45299999999999996,0.441,0.38299999999999995,0.517,0.537,0.3,10.0,7.9,,1.8,1.4,1.2,46.3,,90.9,,0.483,0.325,0.483,0.325,0.486,20.3,21.3,20.3,1.4,1.5
V,2016-12-31,0.122,0.161,0.256,0.3,0.9670000000000001,0.731,0.698,0.698,0.46399999999999997,0.46399999999999997,0.44799999999999995,0.419,0.46399999999999997,0.483,0.3,10.3,8.5,,1.4,1.2,1.0,43.1,,101.8,,0.519,0.341,0.446,0.293,0.499,22.3,23.3,22.1,1.3,1.3
V,2017-03-31,0.11900000000000001,0.158,0.055,0.065,0.966,0.7,0.6709999999999999,0.6709999999999999,0.096,0.096,0.09300000000000001,0.40399999999999997,-0.046,-0.027999999999999997,0.3,8.3,6.2,,1.5,1.2,0.2,58.4,,71.4,,0.516,0.34,0.45899999999999996,0.303,0.513,22.2,23.2,22.1,1.3,1.3
