Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
VZ,2013-03-31,0.069,0.11199999999999999,0.22399999999999998,0.235,0.628,0.35100000000000003,0.225,0.21100000000000002,0.165,0.066,0.066,0.023,0.018000000000000002,0.028999999999999998,0.5,1.3,9.6,46.7,0.8,0.6,1.0,37.3,7.7,78.1,-33.0,0.604,0.376,0.479,0.299,0.613,11.6,19.3,12.5,1.3,2.0
VZ,2013-06-30,0.073,0.11800000000000001,0.23800000000000002,0.267,0.63,0.359,0.233,0.22,0.175,0.075,0.075,0.031,0.133,0.14400000000000002,0.5,1.3,9.9,48.0,0.8,0.5,1.3,36.7,7.6,115.8,-71.5,0.5710000000000001,0.363,0.479,0.305,0.61,12.8,20.8,13.0,1.2,1.9
VZ,2013-09-30,0.071,0.109,0.252,0.259,0.638,0.373,0.249,0.235,0.184,0.07400000000000001,0.07400000000000001,0.026000000000000002,0.33299999999999996,0.344,0.5,1.4,10.0,39.3,2.4,2.3,1.5,37.0,9.4,125.4,-79.1,1.0979999999999999,0.523,1.0070000000000001,0.48,0.674,12.8,20.3,12.8,2.2,3.5
VZ,2013-12-31,0.11,0.159,0.341,0.5489999999999999,0.615,0.523,0.401,0.38799999999999996,0.255,0.163,0.163,0.129,0.226,0.247,0.5,1.4,10.1,43.2,2.6,2.5,1.5,36.4,8.5,80.3,-35.4,0.981,0.495,0.94,0.474,0.652,11.4,15.3,10.8,1.4,2.0
VZ,2014-03-31,0.07200000000000001,0.115,0.43799999999999994,0.613,0.637,0.36700000000000005,0.245,0.23199999999999998,0.19399999999999998,0.128,0.128,0.09300000000000001,0.023,0.048,0.5,1.4,10.0,47.1,0.9,0.6,1.1,35.9,7.6,81.2,-37.7,7.925,0.888,7.77,0.871,0.937,5.9,9.3,5.9,2.4,3.8
VZ,2014-06-30,0.086,0.154,1.158,1.2209999999999999,0.616,0.376,0.257,0.244,0.13699999999999998,0.134,0.134,0.126,0.33299999999999996,0.35600000000000004,0.6,1.4,10.0,49.5,0.9,0.7,1.2,36.3,7.4,116.7,-73.1,6.872999999999999,0.873,6.73,0.855,0.929,6.6,10.2,6.4,2.3,3.7
VZ,2014-09-30,0.076,0.136,0.893,0.9390000000000001,0.612,0.35,0.231,0.218,0.12,0.11699999999999999,0.11699999999999999,0.109,0.13,0.155,0.6,1.4,9.6,43.0,0.9,0.8,1.2,38.2,8.6,124.7,-77.9,6.093999999999999,0.8590000000000001,6.004,0.846,0.9209999999999999,5.5,8.8,5.5,2.5,4.0
VZ,2014-12-31,-0.018000000000000002,-0.032,-0.5429999999999999,-0.618,0.5660000000000001,0.073,-0.038,-0.049,-0.065,-0.067,-0.067,-0.057,-0.105,-0.081,0.6,1.5,9.7,48.8,1.1,0.9,1.1,37.8,7.5,72.6,-27.3,8.297,0.892,8.097000000000001,0.871,0.941,,1.9,,11.7,
VZ,2015-03-31,0.085,0.158,1.42,1.56,0.622,0.374,0.261,0.249,0.136,0.132,0.132,0.127,-0.17600000000000002,-0.15,0.5,1.5,9.6,43.4,0.8,0.6,1.4,37.6,8.3,77.8,-32.0,10.567,0.914,10.154,0.878,0.9540000000000001,6.0,9.0,6.2,2.4,3.4
VZ,2015-06-30,0.08199999999999999,0.156,1.474,1.631,0.614,0.366,0.256,0.243,0.135,0.131,0.131,0.125,0.175,0.198,0.5,1.6,9.9,44.8,0.7,0.6,1.1,36.9,8.1,116.8,-71.7,8.843,0.898,8.517000000000001,0.865,0.9470000000000001,6.5,9.8,6.1,2.4,3.9
