Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
WBA,2013-02-28,0.079,0.111,0.162,0.162,0.301,0.077,0.064,0.06,0.040999999999999995,0.040999999999999995,0.040999999999999995,0.04,0.045,0.046,2.1,6.2,31.4,6.9,1.4,0.5,0.5,11.5,52.0,33.2,30.2,0.344,0.256,0.275,0.205,0.467,48.8,62.1,51.5,1.1,1.4
WBA,2013-05-31,0.064,0.08900000000000001,0.132,0.132,0.285,0.065,0.053,0.05,0.034,0.034,0.034,0.036000000000000004,0.061,0.062,2.1,6.1,29.9,7.4,1.3,0.6,0.6,12.3,49.7,32.3,29.7,0.344,0.256,0.24600000000000002,0.183,0.47,18.1,24.0,18.1,1.4,1.8
WBA,2013-08-31,0.064,0.091,0.13699999999999998,0.13699999999999998,0.289,0.067,0.055,0.051,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.031,0.047,0.049,2.0,5.9,28.4,7.4,1.3,0.5,0.5,12.9,49.5,33.1,29.4,0.259,0.20600000000000002,0.23,0.183,0.452,19.0,25.1,18.0,1.0,1.5
WBA,2013-11-30,0.054000000000000006,0.077,0.14800000000000002,0.147,0.281,0.059000000000000004,0.046,0.042,0.04,0.039,0.039,0.031,-0.034,-0.032,2.0,6.0,27.4,7.2,1.3,0.4,0.1,13.3,50.3,30.4,33.2,0.273,0.214,0.244,0.192,0.45,18.9,26.3,17.4,1.3,1.9
WBA,2014-02-28,0.073,0.10400000000000001,0.14300000000000002,0.14,0.28800000000000003,0.073,0.059000000000000004,0.055,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.049,0.05,2.1,6.4,28.5,7.5,1.4,0.5,0.5,12.6,48.2,31.0,29.8,0.265,0.21,0.237,0.187,0.43799999999999994,29.2,38.9,32.8,1.0,1.1
WBA,2014-05-31,0.066,0.09300000000000001,0.14300000000000002,0.135,0.28,0.068,0.054000000000000006,0.051,0.039,0.037000000000000005,0.037000000000000005,0.033,0.046,0.047,2.1,6.4,26.7,8.2,1.4,0.6,0.6,13.8,45.0,30.4,28.3,0.235,0.19,0.198,0.16,0.425,28.1,37.8,31.2,1.0,1.2
WBA,2014-08-31,0.07400000000000001,0.107,-0.036000000000000004,-0.042,0.28,0.069,0.062,0.057999999999999996,-0.01,-0.012,-0.012,0.038,0.075,0.077,2.0,6.3,24.4,8.8,1.4,0.7,0.6,15.1,41.9,29.4,27.6,0.22,0.18,0.182,0.149,0.447,17.6,20.8,16.3,0.9,1.1
WBA,2014-11-30,0.051,0.07200000000000001,0.17,0.165,0.271,0.061,0.049,0.045,0.045,0.043,0.043,0.032,0.035,0.036000000000000004,1.8,6.4,23.0,9.1,2.4,1.7,0.4,15.8,40.2,29.4,26.6,0.738,0.424,0.7,0.40299999999999997,0.573,16.0,21.8,15.7,3.2,4.4
WBA,2015-02-28,0.061,0.085,0.318,0.318,0.263,0.07400000000000001,0.063,0.055,0.078,0.077,0.077,0.033,0.01,0.013000000000000001,1.8,7.7,20.1,9.9,1.2,0.6,0.3,17.9,36.5,31.0,23.4,0.629,0.386,0.5920000000000001,0.363,0.565,10.2,13.7,11.6,2.5,2.9
WBA,2015-05-31,0.053,0.076,0.166,0.16699999999999998,0.26,0.068,0.055999999999999994,0.053,0.045,0.045,0.045,0.031,0.053,0.055999999999999994,1.6,7.5,16.6,9.4,1.3,0.7,0.5,22.2,39.2,44.9,16.4,0.537,0.35,0.49700000000000005,0.324,0.5479999999999999,10.0,12.9,11.3,2.2,2.5
WBA,2015-08-31,0.059000000000000004,0.087,0.004,0.003,0.252,0.068,0.062,0.057999999999999996,0.001,0.001,0.001,0.033,0.055,0.057999999999999996,1.6,7.8,16.6,9.8,1.2,0.6,0.4,22.2,37.6,43.4,16.4,0.46,0.315,0.425,0.29100000000000004,0.545,13.6,16.1,13.1,1.8,2.3
WBA,2015-11-30,0.057,0.086,0.14300000000000002,0.14400000000000002,0.256,0.067,0.057,0.054000000000000006,0.038,0.038,0.038,0.031,0.009000000000000001,0.012,1.7,8.0,17.0,9.3,1.2,0.6,0.2,21.4,39.1,41.3,19.2,0.45799999999999996,0.314,0.424,0.29,0.546,11.3,14.1,11.6,1.8,2.2
WBA,2016-02-29,0.071,0.107,0.122,0.124,0.261,0.078,0.067,0.063,0.031,0.031,0.031,0.037000000000000005,0.051,0.054000000000000006,1.8,8.2,17.8,9.4,1.3,0.6,0.6,20.4,38.6,43.5,15.5,0.469,0.319,0.434,0.295,0.5489999999999999,13.7,16.8,14.5,1.5,1.7
WBA,2016-05-31,0.055999999999999994,0.085,0.145,0.146,0.252,0.066,0.055,0.051,0.038,0.037000000000000005,0.037000000000000005,0.03,0.055999999999999994,0.059000000000000004,1.8,8.1,17.8,9.8,1.2,0.6,0.5,20.6,37.4,42.3,15.8,0.43200000000000005,0.302,0.42,0.293,0.535,10.2,13.3,11.6,1.7,2.0
