Company,Quarter,Return on Assets,Return on Capital,Return on Equity,Return on Common Equity,Gross Margin,EBITDA Margin,EBITA Margin,EBIT Margin,Earnings from Cont. Ops Margin,Net Income Margin,Net Income Avail. for Common Margin,Normalized Net Income Margin,Levered Free Cash Flow Margin,Unlevered Free Cash Flow Margin,Total Asset Turnover,Fixed Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Current Ratio,Quick Ratio,Cash from Ops. to Curr. Liab.,Avg. Days Sales Out.,Avg. Days Inventory Out.,Avg. Days Payable Out.,Avg. Cash Conversion Cycle,Total Debt/Equity,Total Debt/Capital,LT Debt/Equity,LT Debt/Capital,Total Liabilities/Total Assets,EBIT / Interest Exp.,EBITDA / Interest Exp.,(EBITDA-CAPEX) / Interest Exp.,Total Debt/EBITDA,Total Debt/(EBITDA-CAPEX)
WMT,2013-01-31,0.105,0.157,0.29100000000000004,0.298,0.248,0.084,0.067,0.067,0.046,0.044000000000000004,0.044000000000000004,0.038,0.032,0.035,2.5,4.4,82.9,8.4,0.8,0.2,0.5,4.4,43.7,39.0,9.1,0.659,0.397,0.505,0.304,0.595,16.1,20.2,12.7,1.3,2.0
WMT,2013-04-30,0.079,0.11900000000000001,0.198,0.20600000000000002,0.24600000000000002,0.076,0.055999999999999994,0.055999999999999994,0.034,0.033,0.033,0.031,0.049,0.052000000000000005,2.3,3.9,70.4,7.9,0.8,0.2,0.3,5.1,45.0,39.0,11.0,0.7490000000000001,0.428,0.585,0.33399999999999996,0.622,11.2,15.1,9.9,1.7,2.5
WMT,2013-07-31,0.084,0.126,0.21899999999999997,0.22899999999999998,0.252,0.077,0.057999999999999996,0.057999999999999996,0.036000000000000004,0.035,0.035,0.032,0.008,0.011000000000000001,2.3,4.0,76.7,8.1,0.8,0.2,0.4,4.8,45.2,38.8,11.2,0.741,0.426,0.565,0.324,0.616,11.5,15.3,10.0,1.6,2.4
WMT,2013-10-31,0.077,0.114,0.19699999999999998,0.205,0.251,0.07400000000000001,0.055,0.055,0.033,0.032,0.032,0.03,-0.034,-0.031,2.3,4.0,75.8,7.5,0.9,0.2,0.1,4.9,49.1,37.3,16.6,0.773,0.436,0.557,0.314,0.619,10.7,14.4,8.6,1.8,3.0
WMT,2014-01-31,0.08900000000000001,0.131,0.223,0.231,0.245,0.07400000000000001,0.057,0.057,0.035,0.034,0.033,0.031,0.040999999999999995,0.044000000000000004,2.5,4.4,80.5,8.3,0.9,0.2,0.6,4.6,44.4,37.8,11.1,0.684,0.406,0.5379999999999999,0.319,0.595,12.6,16.6,10.3,1.5,2.4
WMT,2014-04-30,0.076,0.113,0.184,0.192,0.24600000000000002,0.073,0.054000000000000006,0.054000000000000006,0.032,0.031,0.031,0.028999999999999998,0.064,0.068,2.3,3.9,72.0,7.7,0.9,0.2,0.3,4.9,46.3,37.7,13.6,0.711,0.415,0.62,0.36200000000000004,0.614,10.5,14.3,10.6,1.6,2.2
WMT,2014-07-31,0.083,0.124,0.203,0.203,0.251,0.075,0.055999999999999994,0.055999999999999994,0.034,0.034,0.032,0.03,0.01,0.013000000000000001,2.4,4.1,78.5,7.9,0.9,0.2,0.4,4.7,46.4,37.3,13.7,0.655,0.396,0.552,0.33399999999999996,0.594,11.8,15.8,10.6,1.5,2.2
WMT,2014-10-31,0.076,0.113,0.183,0.18899999999999997,0.25,0.07200000000000001,0.053,0.053,0.032,0.031,0.031,0.027999999999999997,-0.011000000000000001,-0.006999999999999999,2.3,4.0,77.8,7.4,0.9,0.2,0.2,4.7,50.0,36.9,17.8,0.664,0.39899999999999997,0.531,0.319,0.596,9.3,12.8,8.1,1.6,2.5
WMT,2015-01-31,0.1,0.14800000000000002,0.244,0.248,0.247,0.08,0.062,0.062,0.039,0.038,0.038,0.034,0.051,0.054000000000000006,2.6,4.5,81.8,8.2,1.0,0.2,0.8,4.5,44.9,38.7,10.6,0.591,0.371,0.513,0.32299999999999995,0.578,13.2,16.8,10.5,1.2,1.9
WMT,2015-04-30,0.07,0.106,0.158,0.16899999999999998,0.247,0.07,0.049,0.049,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.027000000000000003,0.057999999999999996,0.063,2.3,4.0,73.0,7.6,0.9,0.2,0.3,4.9,47.1,38.4,13.5,0.634,0.38799999999999996,0.5429999999999999,0.332,0.602,6.7,9.5,6.9,1.6,2.2
